timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success,ent_coef
65536,1245.25967981814,2.0,158.65874,200.0,65.91375,0.0,0.16931216,1.0,0.37502742,0.090776436,-0.031566393,0.0045873728,-0.001706606,1.6076736,0.8306878,0.16931216,0.02
131072,3665.4598961590027,2.0,157.56784,200.0,67.06145,0.0,0.16708542,1.0,0.37305215,0.08904404,-0.032945253,0.0022677053,-0.0023282378,1.5875436,0.8329146,0.16708542,0.02
196608,3705.9568214723004,2.0,155.4541,200.0,68.16846,0.0,0.17303006,1.0,0.37827325,0.093466155,-0.031987205,0.00242117,-0.001480487,1.5858654,0.8269699,0.17303006,0.02
262144,3692.8282767903884,2.0,153.29224,200.0,69.40088,0.0,0.18099819,1.0,0.38501668,0.09768598,-0.032205746,0.002613941,-0.001777278,1.586772,0.8190018,0.18099819,0.02
327680,3689.628212684203,2.0,152.32353,200.0,69.75055,0.0,0.17741935,1.0,0.3820232,0.09719963,-0.032687534,0.0021943068,-0.0021761565,1.5804262,0.82258064,0.17741935,0.02
393216,3613.0284440222317,2.0,149.53241,200.0,71.00096,0.0,0.19290124,1.0,0.39457616,0.10614907,-0.032288462,0.0035407415,-0.0026357796,1.5711529,0.80709875,0.19290124,0.02
458752,3666.7695722719677,2.0,148.50395,200.0,71.35235,0.0,0.1923077,1.0,0.3941135,0.106041834,-0.03259938,0.0024607705,-0.002532251,1.5648758,0.8076923,0.1923077,0.02
524288,3648.7743718161255,2.0,148.2028,200.0,71.43713,0.0,0.19708654,1.0,0.39779824,0.10827567,-0.032362778,0.0030190768,-0.0028847666,1.5493772,0.8029134,0.19708654,0.02
589824,3584.7915747471056,2.0,147.08554,200.0,71.97568,0.0,0.19924529,1.0,0.39943284,0.10963937,-0.032432955,0.002798395,-0.0029480546,1.5442047,0.8007547,0.19924529,0.02
655360,3568.8409372958,2.0,146.61206,200.0,72.268654,0.0,0.19950293,1.0,0.3996267,0.110233165,-0.0322153,0.0024662882,-0.002453927,1.5497254,0.80049706,0.19950293,0.02
