timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success,ent_coef
65536,1174.4348593514678,2.0,151.87373,200.0,70.6513,-1.9999981,0.020366594,1.99,1.0713954,0.06635471,-0.024653213,0.019665746,-0.0024658008,1.6010141,0.7462121,0.25378788,0.02
131072,3669.945966336454,2.0,151.95763,200.0,70.727264,-1.9999981,-0.019702967,1.99,1.0330151,0.037237708,-0.029178493,0.010479755,-0.0024635657,1.5977404,0.777845,0.22215496,0.02
196608,3663.9869995718163,2.0,151.63542,200.0,70.27095,-1.9999981,-0.028522206,1.99,1.0247706,0.035491433,-0.030034777,0.009585663,-0.0030537392,1.5886935,0.7827641,0.21723591,0.02
262144,3656.868924011074,2.0,150.37573,200.0,71.246346,-1.9999981,-0.027435103,1.99,1.0152427,0.040522933,-0.03067712,0.007444542,-0.002805238,1.5797073,0.78780776,0.21219227,0.02
327680,3640.025474863531,2.0,149.07959,200.0,72.08137,-1.9999981,-0.02988389,1.99,1.0186882,0.041736692,-0.030801682,0.007929404,-0.003225083,1.5770648,0.787367,0.21263304,0.02
393216,3633.565397153652,2.0,147.6416,200.0,72.90067,-1.9999981,-0.021081638,1.99,1.0266794,0.051986646,-0.030672168,0.008343526,-0.003476303,1.5683815,0.78148854,0.21851145,0.02
458752,3620.8586353624405,2.0,144.95808,200.0,74.24281,-1.9999981,0.005757218,1.99,1.0319289,0.074022286,-0.03010221,0.009645006,-0.0037877732,1.5568467,0.7712,0.2288,0.02
524288,3558.7018534610756,2.0,142.78783,200.0,75.283585,-1.9999981,0.034654584,1.99,1.0409015,0.09634072,-0.029068455,0.012032178,-0.004077848,1.550335,0.7579223,0.24207771,0.02
589824,3598.055581507241,2.0,141.88052,200.0,75.650314,-1.9999981,0.051746413,1.99,1.052502,0.11082411,-0.028948227,0.011587146,-0.003907251,1.5417275,0.74830014,0.25169986,0.02
655360,3588.9559555709775,2.0,138.74878,200.0,76.766075,-1.9999981,0.081341855,1.99,1.061929,0.1335648,-0.027845962,0.012913541,-0.0036670314,1.5317849,0.7339518,0.2660482,0.02
720896,3500.771542708337,2.0,136.75684,200.0,77.494804,-1.9999981,0.09785715,1.99,1.0658498,0.1478724,-0.028390063,0.010697677,-0.0032532713,1.5242814,0.7270296,0.27297038,0.02
