timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success,ent_coef
65536,1292.6807791318388,2.0,160.40211,200.0,66.5368,-1.9999981,-0.13757895,1.99,0.97958696,-0.027260134,-0.030354176,0.009609402,-0.0031393452,1.6009768,0.8505291,0.1494709,0.02
131072,3587.722619263677,2.0,155.7619,200.0,68.91778,-1.9999981,-0.120181285,1.99,0.96953064,-0.015970172,-0.029373625,0.009303532,-0.002399162,1.5813115,0.83897245,0.16102757,0.02
196608,3620.698574166527,2.0,155.1388,200.0,69.97382,-1.9999981,-0.1181408,1.99,0.975922,-0.005561635,-0.029352019,0.008610596,-0.0023441126,1.5656604,0.8380682,0.16193181,0.02
262144,3615.0214192965177,2.0,154.67671,200.0,71.02228,-1.9999981,-0.1122161,1.99,0.9817483,0.0035732992,-0.028895786,0.008748253,-0.0021064165,1.5581748,0.8332328,0.1667672,0.02
327680,3613.444125044996,2.0,152.64482,200.0,72.80432,-1.9999981,-0.10134811,1.99,0.98611724,0.015732126,-0.029886993,0.00866437,-0.0028720526,1.5673562,0.82953465,0.17046534,0.02
393216,3537.154494840358,2.0,150.82906,200.0,73.98245,-1.9999981,-0.08861329,1.99,0.9915446,0.025611658,-0.03078245,0.008019546,-0.003314574,1.5738827,0.82437694,0.17562306,0.02
458752,3583.9547925929437,2.0,148.41606,200.0,75.54745,-1.9999981,-0.06584222,1.99,1.0031271,0.046318155,-0.031042218,0.008298462,-0.004059816,1.5565817,0.81508195,0.18491803,0.02
524288,3581.021641205606,2.0,146.82965,200.0,76.48232,-1.9999981,-0.037663992,1.99,1.0151933,0.06920335,-0.029117353,0.009864646,-0.0031273211,1.5461181,0.8022959,0.19770408,0.02
589824,3502.6882259312274,2.0,145.98201,200.0,76.94821,-1.9999981,-0.026205236,1.99,1.0269747,0.08099705,-0.029876202,0.0085372655,-0.0033434378,1.5400699,0.7954773,0.20452274,0.02
655360,3497.7949579476917,2.0,144.82204,200.0,77.34417,-1.9999981,-0.009341697,1.99,1.0322094,0.09260138,-0.030120004,0.008936018,-0.0041422006,1.5222906,0.78735507,0.21264496,0.02
720896,3480.724070374121,2.0,144.04149,200.0,77.651024,-1.9999981,-0.0016501435,1.99,1.0354123,0.099537075,-0.029852182,0.009439464,-0.004201459,1.5185226,0.78237665,0.21762337,0.02
786432,3535.6042931011007,2.0,142.3965,200.0,78.08693,-1.9999981,0.0146465935,1.99,1.0440278,0.111654416,-0.028741926,0.011520939,-0.004194155,1.5154122,0.7730257,0.22697428,0.02
851968,3455.8123161799163,2.0,140.66573,200.0,78.61828,-1.9999981,0.028922742,1.99,1.0474052,0.12149187,-0.029032562,0.011004174,-0.0042483164,1.5143163,0.7655912,0.23440878,0.02
917504,3445.3332136749436,2.0,139.34523,200.0,78.9999,-1.9999981,0.04444392,1.99,1.0491287,0.13330646,-0.0292519,0.0101989675,-0.004170634,1.5090373,0.7593386,0.24066135,0.02
983040,3494.777042689723,2.0,137.63847,200.0,79.47407,-1.9999981,0.06179537,1.99,1.0529122,0.1453373,-0.02901397,0.0121412175,-0.0050381613,1.5023208,0.7504925,0.24950746,0.02
1048576,3417.292056437416,2.0,136.06903,200.0,79.745056,-1.9999981,0.07775875,1.99,1.0572251,0.15503386,-0.026948852,0.013248424,-0.0034142893,1.5079385,0.74164927,0.25835073,0.02
1114112,3404.9571036179764,2.0,135.15886,200.0,79.95204,-1.9999981,0.086687796,1.99,1.0600228,0.16245759,-0.029440807,0.009309806,-0.003971249,1.506223,0.73719823,0.26280177,0.02
1179648,3388.0382203892996,2.0,133.56845,200.0,80.400764,-1.9999981,0.09981717,1.99,1.063009,0.17319423,-0.029412992,0.0107552875,-0.0046152934,1.5087675,0.73108,0.26892,0.02
1245184,3376.703862376453,2.0,132.99495,200.0,80.501755,-1.9999981,0.10818134,1.99,1.0638362,0.17919156,-0.029866649,0.009715486,-0.004654106,1.5035143,0.7270337,0.2729663,0.02
1310720,3366.272925717212,2.0,132.01668,200.0,80.71356,-1.9999981,0.11847951,1.99,1.0649099,0.18673536,-0.029819721,0.010606342,-0.005118014,1.5002438,0.722975,0.27702498,0.02
1376256,3341.2843444417786,2.0,131.20602,200.0,80.8224,-1.9999981,0.12817511,1.99,1.0686449,0.192972,-0.029158087,0.012028059,-0.005084417,1.5043851,0.7173767,0.28262326,0.02
