timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success,ent_coef
65536,1236.2808100475063,2.0,152.25377,200.0,72.19257,-1.9999981,-0.08213522,1.99,1.0487394,0.029326377,-0.026440978,0.014135935,-0.0013844527,1.6062247,0.80904526,0.19095477,0.02
131072,3591.502318305745,2.0,154.80888,200.0,69.71331,-1.9999981,-0.06404396,1.99,1.0082608,0.02600385,-0.028488833,0.011313485,-0.0023223148,1.591163,0.8082614,0.19173859,0.02
196608,3633.5894130611246,2.0,150.44664,200.0,72.10152,-1.9999981,-0.03766361,1.99,1.0182986,0.041674417,-0.02763022,0.013066355,-0.0028325883,1.5665406,0.79565215,0.20434782,0.02
262144,3628.945221692444,2.0,147.94107,200.0,73.38491,-1.9999981,-0.018832624,1.99,1.0280092,0.05654395,-0.02659662,0.0141562475,-0.0026060601,1.5534344,0.78422874,0.21577123,0.02
327680,3618.2411518436184,2.0,148.4185,200.0,73.410324,-1.9999981,-0.016118359,1.99,1.0348566,0.058855932,-0.02680769,0.013166504,-0.0025314032,1.542977,0.78176796,0.21823205,0.02
393216,3600.752885644612,2.0,146.8487,200.0,74.05606,-1.9999981,0.004384191,1.99,1.0387162,0.07248983,-0.026872268,0.013805839,-0.0031726635,1.5301265,0.7715207,0.22847933,0.02
458752,3590.6671379714426,2.0,146.07648,200.0,74.03091,-1.9999981,0.014632563,1.99,1.0449848,0.07776247,-0.027564269,0.012783102,-0.0034696541,1.5243084,0.76556957,0.23443046,0.02
524288,3586.1580569711623,2.0,143.8146,200.0,74.59816,-1.9999981,0.039621565,1.99,1.0547345,0.09158859,-0.025662705,0.016259393,-0.0035756784,1.5108362,0.7511796,0.24882042,0.02
589824,3584.4322849906166,2.0,142.20277,200.0,74.9929,-1.9999981,0.056816395,1.99,1.0585384,0.10268446,-0.027034309,0.014752984,-0.004554318,1.4928238,0.7428189,0.2571811,0.02
655360,3506.485535273468,2.0,140.38997,200.0,75.422295,-1.9999981,0.07479182,1.99,1.0647489,0.11350894,-0.025753798,0.015682518,-0.004063964,1.476555,0.7322741,0.26772588,0.02
720896,3481.393709275803,2.0,138.76866,200.0,75.78833,-1.9999981,0.08784219,1.99,1.0633674,0.121327914,-0.026857095,0.014033618,-0.0041105426,1.4881684,0.72677916,0.27322087,0.02
786432,3535.6366272208484,2.0,137.82214,200.0,76.106735,-1.9999981,0.097005,1.99,1.0630559,0.12832488,-0.028772553,0.011739265,-0.004413221,1.511448,0.7228894,0.27711055,0.02
851968,3466.3086738843394,2.0,136.75851,200.0,76.5081,-1.9999981,0.1070534,1.99,1.0661004,0.13648002,-0.027372735,0.013283509,-0.003761737,1.5126379,0.7184623,0.2815377,0.02
917504,3452.5587204977187,2.0,136.12871,200.0,76.61045,-1.9999981,0.11826904,1.99,1.06832,0.14511324,-0.028148213,0.013100372,-0.004688058,1.500517,0.71270716,0.2872928,0.02
983040,3433.9098852634625,2.0,134.95581,200.0,77.043495,-1.9999981,0.13143668,1.99,1.0701197,0.15606597,-0.027939321,0.013585596,-0.004554296,1.5088915,0.70680845,0.29319155,0.02
1048576,3485.0084281351255,2.0,134.7058,200.0,77.07574,-1.9999981,0.13722952,1.99,1.0707167,0.16101675,-0.02932321,0.011389029,-0.004720724,1.5148499,0.704701,0.295299,0.02
1114112,3416.324759537402,2.0,133.63498,200.0,77.42494,-1.9999981,0.14711115,1.99,1.070717,0.16914675,-0.028012086,0.0132149635,-0.0047436096,1.4937978,0.70028925,0.29971078,0.02
1179648,3396.6136653574836,2.0,133.23697,200.0,77.637245,-1.9999981,0.15374175,1.99,1.0708935,0.17493,-0.028328909,0.012708183,-0.0046789856,1.500201,0.69799113,0.30200887,0.02
1245184,3388.413138178908,2.0,133.18716,200.0,77.73478,-1.9999981,0.15416393,1.99,1.0701518,0.17635159,-0.030104145,0.010545945,-0.0053095235,1.5033797,0.69861394,0.30138606,0.02
1310720,3376.113239001725,2.0,132.14252,200.0,78.17708,-1.9999981,0.1642838,1.99,1.0706652,0.18473582,-0.028425677,0.012977072,-0.004913016,1.50006,0.69446975,0.30553022,0.02
1376256,3350.8162757387813,2.0,131.88255,200.0,78.35055,-1.9999981,0.16621289,1.99,1.0713437,0.18800984,-0.030804366,0.009650772,-0.0055056894,1.5062032,0.6934879,0.30651212,0.02
1441792,3348.383881394584,2.0,131.66676,200.0,78.47281,-1.9999981,0.16982296,1.99,1.0714251,0.19214287,-0.030401332,0.009586337,-0.0050035664,1.5095469,0.69234294,0.30765703,0.02
1507328,3339.579301458397,2.0,131.14787,200.0,78.632744,-1.9999981,0.17609437,1.99,1.0715728,0.19728482,-0.029121626,0.012267246,-0.0050994325,1.5077908,0.6896672,0.31033278,0.02
1572864,3311.015690753983,2.0,130.30048,200.0,78.83493,-1.9999981,0.18176872,1.99,1.0707722,0.2019145,-0.028535102,0.012735935,-0.0050453865,1.492884,0.6874688,0.31253117,0.02
1638400,3301.306092098278,2.0,129.25536,200.0,79.10988,-1.9999981,0.19046491,1.99,1.0704647,0.20976235,-0.029340075,0.0124988705,-0.0059407908,1.4824362,0.68433964,0.31566036,0.02
1703936,3278.6004418367584,2.0,127.99638,200.0,79.408485,-1.9999981,0.20079549,1.99,1.0720661,0.21845743,-0.027881797,0.014181,-0.0055115554,1.4730371,0.68007535,0.31992468,0.02
1769472,3207.4840590049002,2.0,127.278564,200.0,79.551254,-1.9999981,0.20515294,1.99,1.0718433,0.22241281,-0.028931696,0.011357513,-0.005258216,1.4676118,0.6784117,0.32158828,0.02
1835008,3249.209056539434,2.0,126.66593,200.0,79.73754,-1.9999981,0.20612238,1.99,1.0722475,0.22468932,-0.030896094,0.009759168,-0.006238798,1.4768442,0.6781414,0.32185856,0.02
1900544,3244.1845789377385,2.0,126.27465,200.0,79.87072,-1.9999981,0.2095333,1.99,1.0733174,0.22861037,-0.030240512,0.010806669,-0.006155773,1.4744037,0.6767058,0.32329425,0.02
1966080,3226.1172108431647,2.0,125.79186,200.0,79.98139,-1.9999981,0.21425036,1.99,1.074791,0.23230867,-0.028973537,0.013140967,-0.0060950727,1.4724474,0.6742269,0.32577312,0.02
2031616,3152.7698241661374,2.0,125.34548,200.0,80.034355,-1.9999981,0.21686201,1.99,1.0731484,0.23349229,-0.02978125,0.012574256,-0.00650825,1.4780066,0.67397624,0.32602376,0.02
2097152,3148.877417958592,2.0,124.98082,200.0,80.02875,-1.9999981,0.22133508,1.99,1.0737237,0.23645516,-0.028350277,0.014081922,-0.0060454705,1.4672883,0.6720038,0.32799616,0.02
2162688,3131.623556660078,2.0,124.243416,200.0,80.09046,-1.9999981,0.229568,1.99,1.0750152,0.24218477,-0.027474541,0.016402386,-0.006535234,1.457025,0.6684623,0.3315377,0.02
2228224,3175.4744272550197,2.0,123.44994,200.0,80.20188,-1.9999981,0.23657718,1.99,1.0756907,0.24768327,-0.027741546,0.015065251,-0.006399877,1.4437147,0.6655377,0.33446229,0.02
2293760,3155.651550504597,2.0,122.776886,200.0,80.23057,-1.9999981,0.24257828,1.99,1.0764802,0.251471,-0.027138658,0.016463777,-0.00668046,1.4345045,0.6626173,0.33738267,0.02
2359296,3093.657989340867,2.0,122.14525,200.0,80.252495,-1.9999981,0.24942435,1.99,1.0778284,0.2558054,-0.026833948,0.015994271,-0.0059490143,1.4441034,0.6594966,0.34050336,0.02
2424832,3072.4071775277725,2.0,121.688644,200.0,80.2762,-1.9999981,0.2526422,1.99,1.0787512,0.2580991,-0.02809744,0.014058362,-0.0063804914,1.4373065,0.65799135,0.34200865,0.02
2490368,3109.578204405824,2.0,121.145424,200.0,80.37383,-1.9999981,0.2583438,1.99,1.0788481,0.26275995,-0.028863234,0.012989038,-0.0065884106,1.4384671,0.655665,0.34433502,0.02
2555904,3037.9362519456818,2.0,120.7424,200.0,80.38263,-1.9999981,0.26325133,1.99,1.0798601,0.26630017,-0.028877707,0.01456335,-0.0077247666,1.421731,0.6535785,0.34642148,0.02
2621440,3038.8083471730542,2.0,120.53734,200.0,80.40118,-1.9999981,0.2662965,1.99,1.0810342,0.26855302,-0.028773597,0.01409435,-0.007324825,1.4247973,0.65213984,0.34786013,0.02
2686976,3070.05306116933,2.0,120.04495,200.0,80.42298,-1.9999981,0.27166396,1.99,1.081553,0.27207646,-0.028123226,0.01493623,-0.0071361344,1.4227601,0.64997315,0.35002688,0.02
2752512,3011.168531296514,2.0,119.72234,200.0,80.46273,-1.9999981,0.2755073,1.99,1.0826648,0.27492756,-0.02883859,0.014100817,-0.007497475,1.4195763,0.6481998,0.3518002,0.02
2818048,2988.9830424701645,2.0,119.20861,200.0,80.517006,-1.9999981,0.28139046,1.99,1.082751,0.27935916,-0.028393246,0.015028913,-0.007844814,1.4031446,0.64545107,0.35454893,0.02
2883584,2975.8879779240438,2.0,118.73044,200.0,80.58582,-1.9999981,0.2860974,1.99,1.0836953,0.282949,-0.028582051,0.014618027,-0.007990081,1.395049,0.6429868,0.35701323,0.02
2949120,2965.0248232003655,2.0,118.556694,200.0,80.62986,-1.9999981,0.28617275,1.99,1.0842288,0.2837498,-0.03018298,0.010985846,-0.0076876977,1.3994104,0.6428284,0.35717162,0.02
3014656,3002.3863183114718,2.0,118.406296,200.0,80.652,-1.9999981,0.28899625,1.99,1.0847023,0.28586245,-0.029636953,0.01189766,-0.007573983,1.4005901,0.6413929,0.3586071,0.02
3080192,2939.4929298015877,2.0,118.324844,200.0,80.65259,-1.9999981,0.28959927,1.99,1.0849597,0.28658086,-0.02974004,0.011991177,-0.0076805,1.4027563,0.6411835,0.3588165,0.02
3145728,2918.8005127690267,2.0,118.2611,200.0,80.67,-1.9999981,0.29107633,1.99,1.0852776,0.28806686,-0.0301829,0.011609564,-0.007968669,1.4009508,0.64060557,0.35939443,0.02
3211264,2922.80809037058,2.0,118.06385,200.0,80.71173,-1.9999981,0.29312024,1.99,1.085946,0.28996584,-0.029509643,0.01268168,-0.008107447,1.3871517,0.6397747,0.36022535,0.02
3276800,2889.0991481464976,2.0,117.88484,200.0,80.75061,-1.9999981,0.29543057,1.99,1.0868899,0.29231095,-0.029997187,0.012315216,-0.008406769,1.3874016,0.6387548,0.36124521,0.02
3342336,2897.5323536068818,2.0,117.84844,200.0,80.767296,-1.9999981,0.2962806,1.99,1.0868343,0.29309115,-0.030391756,0.010813393,-0.008075374,1.386154,0.63872313,0.3612769,0.02
3407872,2884.334967522443,2.0,117.598366,200.0,80.8192,-1.9999981,0.29774252,1.99,1.0875574,0.2945883,-0.029381827,0.012869964,-0.008307615,1.3754597,0.6379549,0.36204514,0.02
3473408,2863.1996571050645,2.0,117.46891,200.0,80.87322,-1.9999981,0.29963356,1.99,1.0880698,0.29634,-0.029516589,0.012416022,-0.008346658,1.3688972,0.63721806,0.36278194,0.02
3538944,2851.590868411991,2.0,117.41974,200.0,80.89387,-1.9999981,0.30006483,1.99,1.0886838,0.29704934,-0.029472912,0.011966719,-0.008200426,1.3627921,0.63678354,0.3632165,0.02
3604480,2832.0946493898236,2.0,117.17463,200.0,80.94333,-1.9999981,0.30274463,1.99,1.0884831,0.29939416,-0.028633375,0.013236754,-0.0079094,1.3671178,0.63609725,0.36390272,0.02
3670016,2828.990949187517,2.0,117.01175,200.0,80.94683,-1.9999981,0.30454722,1.99,1.0889803,0.30082092,-0.0296803,0.012894824,-0.008640101,1.3743806,0.63520247,0.36479756,0.02
