timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success,ent_coef
65536,1295.3350488642338,2.0,153.5282,200.0,67.79231,0.0,0.15897436,1.0,0.36565217,0.08547308,-0.03293898,0.0039376086,-0.0028696207,1.6019083,0.84102565,0.15897436,0.02
131072,4205.092639471447,2.0,153.81706,200.0,68.33428,0.0,0.16192831,1.0,0.36838508,0.08682285,-0.0332307,0.0022786516,-0.0028377688,1.576613,0.8380717,0.16192831,0.02
196608,4212.836469218902,2.0,152.10405,200.0,70.89229,0.0,0.16600476,1.0,0.37208492,0.09481492,-0.032086506,0.002229381,-0.0019746681,1.5613265,0.8339952,0.16600476,0.02
262144,4106.20388440464,2.0,151.82532,200.0,71.2932,0.0,0.17825311,1.0,0.3827257,0.1033923,-0.032823935,0.002519347,-0.0024959664,1.5793822,0.8217469,0.17825311,0.02
327680,4176.685646824747,2.0,151.4901,200.0,71.58189,0.0,0.18520264,1.0,0.38846186,0.10825751,-0.033514325,0.0025258986,-0.0031232852,1.582699,0.81479734,0.18520264,0.02
393216,4160.352965289636,2.0,149.72346,200.0,72.70762,0.0,0.19016266,1.0,0.39242938,0.113431275,-0.03379327,0.002476784,-0.0035206666,1.5755498,0.80983734,0.19016266,0.02
458752,4153.218594316387,2.0,149.58151,200.0,72.850334,0.0,0.19537954,1.0,0.3964926,0.11883415,-0.034361135,0.0023245683,-0.004107228,1.5708097,0.80462044,0.19537954,0.02
524288,4049.9027450764534,2.0,148.14046,200.0,73.65565,0.0,0.20325436,1.0,0.40242022,0.12560582,-0.033599496,0.0026324822,-0.0035309852,1.5692377,0.79674566,0.20325436,0.02
589824,4114.00593128989,2.0,147.2838,200.0,74.33588,0.0,0.21190716,1.0,0.4086594,0.13360028,-0.033981744,0.0025866947,-0.0041353055,1.5569893,0.78809285,0.21190716,0.02
655360,4116.413918814409,2.0,146.77313,200.0,74.88977,0.0,0.21601447,1.0,0.41152427,0.13899556,-0.034409486,0.0021674277,-0.0043171113,1.5588048,0.7839855,0.21601447,0.02
720896,4098.86418403754,2.0,145.47061,200.0,75.563194,0.0,0.22717103,1.0,0.419004,0.14822242,-0.033517085,0.003326546,-0.0042014923,1.5489434,0.77282894,0.22717103,0.02
786432,4077.9985310904212,2.0,144.14455,200.0,76.338135,0.0,0.23426251,1.0,0.423537,0.15543823,-0.03414413,0.0030725065,-0.004784335,1.544802,0.7657375,0.23426251,0.02
851968,3974.9868195096983,2.0,144.00987,200.0,76.49644,0.0,0.23854929,1.0,0.42619658,0.15896635,-0.033892173,0.0027924792,-0.0046128314,1.5337791,0.7614507,0.23854929,0.02
917504,3961.284988840643,2.0,143.085,200.0,76.99721,0.0,0.24639273,1.0,0.4309099,0.1651017,-0.033995245,0.0034579402,-0.005097169,1.5313526,0.7536073,0.24639273,0.02
983040,4027.806007323225,2.0,141.97821,200.0,77.56974,0.0,0.25573626,1.0,0.4362743,0.17256571,-0.033468045,0.0037652357,-0.005264198,1.5043231,0.7442637,0.25573626,0.02
1048576,3946.2411134640674,2.0,141.59492,200.0,77.74982,0.0,0.26059207,1.0,0.4389577,0.17634873,-0.03351803,0.003391494,-0.0048202043,1.5196788,0.73940796,0.26059207,0.02
1114112,3919.2266857454765,2.0,140.55309,200.0,78.13025,0.0,0.26918685,1.0,0.44353727,0.18270458,-0.032947548,0.0040053315,-0.004747344,1.5101435,0.73081315,0.26918685,0.02
1179648,3987.2082709904225,2.0,139.35516,200.0,78.46845,0.0,0.27791622,1.0,0.44797188,0.18885764,-0.033644013,0.0043371175,-0.0056566214,1.5077976,0.7220838,0.27791622,0.02
1245184,3896.552531840717,2.0,138.56143,200.0,78.71063,0.0,0.28518724,1.0,0.45150357,0.19405031,-0.033404037,0.0040617543,-0.0052005625,1.5117178,0.71481276,0.28518724,0.02
1310720,3875.785746094367,2.0,137.72148,200.0,78.953995,0.0,0.29287598,1.0,0.455082,0.1997711,-0.033692244,0.004345574,-0.00577508,1.5044978,0.707124,0.29287598,0.02
1376256,3863.215317877806,2.0,136.9142,200.0,79.154655,0.0,0.30033958,1.0,0.45840558,0.20505238,-0.03375496,0.0042063952,-0.0057683624,1.5044899,0.6996604,0.30033958,0.02
1441792,3821.300287731311,2.0,135.84929,200.0,79.41688,0.0,0.30983916,1.0,0.4624271,0.21124892,-0.03225842,0.005083341,-0.0049348124,1.4932638,0.6901608,0.30983916,0.02
1507328,3831.287680031855,2.0,134.90918,200.0,79.59805,0.0,0.31737334,1.0,0.4654541,0.21620242,-0.03284896,0.0048913606,-0.005423661,1.493549,0.68262666,0.31737334,0.02
