timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success,ent_coef
65536,1422.8891157538685,2.0,152.74623,200.0,72.22997,0.0,0.1758794,1.0,0.38071752,0.10930786,-0.030776037,0.004969121,-0.0011154629,1.6072569,0.8241206,0.1758794,0.02
131072,4335.358202614433,2.0,154.42145,200.0,69.60163,0.0,0.1733167,1.0,0.37852082,0.09782395,-0.033493694,0.0025164653,-0.0028566162,1.5947654,0.8266833,0.1733167,0.02
196608,4320.34208266373,2.0,152.19537,200.0,70.027275,0.0,0.18660288,1.0,0.38959238,0.10354578,-0.032185424,0.0033015604,-0.0021960654,1.5820067,0.8133971,0.18660288,0.02
262144,4316.447896624054,2.0,150.27739,200.0,71.435326,0.0,0.19552414,1.0,0.39660367,0.111588106,-0.03235028,0.002988854,-0.002320366,1.576217,0.80447584,0.19552414,0.02
327680,4307.650837355372,2.0,148.39935,200.0,72.82492,0.0,0.20221096,1.0,0.4016487,0.11699662,-0.03213428,0.0032338316,-0.0025037075,1.5623747,0.79778904,0.20221096,0.02
393216,4281.129481448293,2.0,148.12883,200.0,73.10756,0.0,0.20107034,1.0,0.40080056,0.11652059,-0.031995982,0.0026695807,-0.0021949098,1.556793,0.7989297,0.20107034,0.02
458752,4168.379030704073,2.0,147.46242,200.0,73.269264,0.0,0.20501138,1.0,0.40370995,0.11891485,-0.032603167,0.003109859,-0.0027986234,1.5679739,0.79498863,0.20501138,0.02
524288,4261.815631068953,2.0,146.85266,200.0,73.92155,0.0,0.2081448,1.0,0.40598094,0.12372196,-0.033026174,0.0028195526,-0.0032326013,1.5601677,0.7918552,0.2081448,0.02
589824,4232.817302511615,2.0,146.6644,200.0,73.949455,0.0,0.2081448,1.0,0.40598094,0.12435447,-0.03294627,0.002571338,-0.0031297468,1.5551097,0.7918552,0.2081448,0.02
655360,4210.1302119807815,2.0,146.77647,200.0,73.88627,0.0,0.20885076,1.0,0.40648758,0.124666795,-0.032732327,0.0028467025,-0.0032147958,1.547044,0.79114926,0.20885076,0.02
720896,4207.199204225965,2.0,146.51128,200.0,74.00371,0.0,0.21217713,1.0,0.40884963,0.1277643,-0.032724705,0.0030209883,-0.003459143,1.538803,0.7878229,0.21217713,0.02
786432,4201.346011341978,2.0,145.87587,200.0,74.712166,0.0,0.2144326,1.0,0.41042814,0.13171773,-0.032425743,0.0029400117,-0.003423711,1.5236015,0.7855674,0.2144326,0.02
851968,4162.236878720128,2.0,145.98947,200.0,74.916565,0.0,0.21353358,1.0,0.40980116,0.13293354,-0.033171438,0.0023043791,-0.0038224224,1.52506,0.7864664,0.21353358,0.02
917504,4066.2637839189197,2.0,145.53822,200.0,75.45216,0.0,0.21397798,1.0,0.41011146,0.13507423,-0.03200087,0.00256537,-0.0033958333,1.494386,0.786022,0.21397798,0.02
