timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success,ent_coef
65536,1283.870933519902,2.0,151.91899,200.0,69.4273,-1.9999981,-0.050316017,1.99,1.0266742,0.02060297,-0.027088895,0.014011118,-0.0020244364,1.6035008,0.79746836,0.20253165,0.02
131072,4220.508232471994,2.0,152.9182,200.0,69.626015,-1.9999981,-0.052331693,1.99,1.0051678,0.022598686,-0.02852893,0.011116414,-0.0024845721,1.5801284,0.8052503,0.1947497,0.02
196608,4209.450532568919,2.0,152.417,200.0,71.00178,-1.9999981,-0.05234119,1.99,1.0163759,0.03477213,-0.028986474,0.010002625,-0.0026804549,1.5653665,0.8051323,0.19486769,0.02
262144,4108.506085472046,2.0,151.77574,200.0,71.924416,-1.9999981,-0.03996999,1.99,1.0199083,0.049853902,-0.029658888,0.010279767,-0.0035892054,1.5604786,0.8011834,0.19881657,0.02
327680,4173.147765868717,2.0,150.42697,200.0,72.82009,-1.9999981,-0.029791242,1.99,1.0196131,0.06166585,-0.030592304,0.008540657,-0.0038152817,1.5523673,0.79728466,0.20271535,0.02
393216,4159.084796831518,2.0,148.33792,200.0,74.4995,-1.9999981,-0.014993841,1.99,1.0319407,0.079764426,-0.030920181,0.008871604,-0.004425671,1.5465155,0.7893731,0.21062692,0.02
458752,4142.2190839489895,2.0,147.2592,200.0,75.48643,-1.9999981,-0.008488669,1.99,1.0390521,0.09212211,-0.03115595,0.007714428,-0.0041682255,1.5422469,0.7857376,0.21426246,0.02
524288,4038.80264140997,2.0,146.69374,200.0,76.337906,-1.9999981,-0.006433197,1.99,1.0518743,0.10402027,-0.030631252,0.007962711,-0.0036027401,1.5504932,0.78049815,0.21950184,0.02
589824,4127.20790253421,2.0,146.27556,200.0,76.96247,-1.9999981,0.0019919141,1.99,1.0622258,0.11714831,-0.030716559,0.008369304,-0.0039914087,1.5454903,0.77542585,0.22457415,0.02
655360,4119.81861485152,2.0,146.28506,200.0,77.009865,-1.9999981,0.005815568,1.99,1.0663215,0.123171434,-0.029384185,0.009131328,-0.0030881276,1.543086,0.7709975,0.22900248,0.02
720896,4100.531435844506,2.0,145.3092,200.0,77.62858,-1.9999981,0.02149871,1.99,1.0779704,0.1376283,-0.029626086,0.0104085,-0.004154194,1.5338073,0.76275665,0.23724334,0.02
786432,3993.0742839206096,2.0,144.03098,200.0,78.231636,-1.9999981,0.043579895,1.99,1.0895404,0.15489323,-0.028187826,0.013526578,-0.0045025903,1.5224265,0.75082964,0.24917035,0.02
851968,3970.2261241250503,2.0,142.17708,200.0,78.96792,-1.9999981,0.069892906,1.99,1.098823,0.17323762,-0.027564501,0.014521219,-0.004542894,1.5141106,0.7362231,0.26377687,0.02
917504,3958.083207352783,2.0,140.58504,200.0,79.55343,-1.9999981,0.092859335,1.99,1.1081661,0.1901048,-0.027551414,0.014089579,-0.004529718,1.5033243,0.7242097,0.27579027,0.02
983040,3933.0005921580396,2.0,139.2323,200.0,79.81913,-1.9999981,0.11663076,1.99,1.119261,0.2055345,-0.027288096,0.015463199,-0.005255123,1.4882287,0.71091634,0.28908366,0.02
