timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success,ent_coef
65536,1494.6073909170123,2.0,161.56915,200.0,65.76376,-1.9999981,-0.15446766,1.99,0.97729224,-0.035320677,-0.030639678,0.009854358,-0.0035385164,1.6014172,0.85771275,0.14228724,0.02
131072,4351.086453317551,2.0,160.57271,200.0,65.94675,-1.9999981,-0.15328786,1.99,0.98784137,-0.03264406,-0.029045375,0.008922339,-0.0018806736,1.5812936,0.8468468,0.15315315,0.02
196608,4328.328973646625,2.0,158.30917,200.0,67.66011,-1.9999981,-0.10632041,1.99,0.98989576,-0.0030488053,-0.028079478,0.010583653,-0.0019954185,1.5687941,0.82958335,0.17041667,0.02
262144,4304.444269886514,2.0,155.3032,200.0,70.36228,-1.9999981,-0.099465914,1.99,0.99489826,0.009224551,-0.028125497,0.009507104,-0.0016333462,1.5622854,0.82625836,0.17374167,0.02
327680,4311.966212174417,2.0,153.52742,200.0,71.59168,-1.9999981,-0.0792175,1.99,1.0148346,0.028311111,-0.029256728,0.01072622,-0.003285601,1.5667119,0.8118741,0.1881259,0.02
393216,4286.617567783553,2.0,151.56287,200.0,72.40607,-1.9999981,-0.061403807,1.99,1.013756,0.0401336,-0.029956397,0.009912788,-0.0036618826,1.562545,0.8049354,0.19506463,0.02
458752,4267.8920555428895,2.0,150.02711,200.0,73.74679,-1.9999981,-0.050087184,1.99,1.0132558,0.05209416,-0.029039355,0.010652856,-0.003627624,1.5369079,0.80231404,0.19768596,0.02
524288,4267.620517089631,2.0,149.0817,200.0,74.51888,-1.9999981,-0.044939168,1.99,1.0162694,0.05942511,-0.028834783,0.009504318,-0.002988674,1.5299133,0.8006329,0.19936709,0.02
589824,4227.874820175908,2.0,148.64987,200.0,74.97324,-1.9999981,-0.040427055,1.99,1.0238514,0.06785931,-0.029676659,0.0090198675,-0.0035204296,1.5333081,0.7984733,0.20152672,0.02
655360,4148.961765942467,2.0,147.8086,200.0,75.500275,-1.9999981,-0.03264336,1.99,1.0329381,0.07665027,-0.029343508,0.010741263,-0.0042144856,1.5249827,0.79302114,0.20697886,0.02
720896,4137.358128972706,2.0,147.05962,200.0,75.94774,-1.9999981,-0.022602372,1.99,1.0356874,0.084862806,-0.028848458,0.009982596,-0.003106273,1.5366743,0.78803456,0.21196546,0.02
