timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success,ent_coef
65536,1432.758967351335,2.0,152.74623,200.0,72.22997,-1.9999981,-0.08977342,1.99,1.0506737,0.026420651,-0.026127178,0.014508615,-0.0012528326,1.6064328,0.81155777,0.18844222,0.02
131072,4343.225416505975,2.0,154.51912,200.0,69.65239,-1.9999981,-0.06395148,1.99,1.0156745,0.027751507,-0.028526124,0.012048421,-0.002711723,1.5919306,0.80949444,0.19050555,0.02
196608,4325.225151948529,2.0,153.58234,200.0,70.13673,-1.9999981,-0.06248551,1.99,1.0041162,0.030681686,-0.029065736,0.011253084,-0.003387819,1.5652229,0.80763054,0.19236948,0.02
262144,4300.260849914669,2.0,152.13084,200.0,71.153465,-1.9999981,-0.05016535,1.99,1.004004,0.038287397,-0.028104462,0.012039366,-0.0030507278,1.553671,0.80313796,0.19686204,0.02
327680,4297.421526574943,2.0,151.03001,200.0,72.00149,-1.9999981,-0.044033345,1.99,1.0081823,0.045770545,-0.027293071,0.011084807,-0.0018782436,1.5478616,0.8022983,0.1977017,0.02
393216,4285.301129723607,2.0,148.13957,200.0,73.81239,-1.9999981,-0.01740111,1.99,1.021646,0.06827133,-0.02728657,0.012939328,-0.0031855688,1.5285333,0.7885277,0.21147227,0.02
458752,4178.209770071919,2.0,146.07481,200.0,75.52405,-1.9999981,-0.01985769,1.99,1.0228947,0.074092984,-0.028391037,0.010030408,-0.0031410083,1.5132618,0.7887778,0.21122219,0.02
524288,4239.113465575208,2.0,145.92221,200.0,75.83173,-1.9999981,-0.014086389,1.99,1.0289615,0.08166107,-0.028361302,0.0100207785,-0.003280341,1.504568,0.7852311,0.21476889,0.02
589824,4229.410442867482,2.0,146.37312,200.0,75.80028,-1.9999981,-0.014409054,1.99,1.0286572,0.08564234,-0.02895772,0.0089504495,-0.0030726779,1.5180135,0.7856068,0.21439318,0.02
655360,4218.494105289461,2.0,146.2244,200.0,76.12066,-1.9999981,-0.014326607,1.99,1.0325296,0.08976846,-0.029180717,0.009628495,-0.0036140329,1.5190468,0.784605,0.215395,0.02
720896,4217.31033652254,2.0,145.6975,200.0,76.55161,-1.9999981,-0.008990206,1.99,1.0355649,0.095988125,-0.02901085,0.009830107,-0.0040101036,1.49579,0.78213483,0.21786514,0.02
786432,4180.354643378572,2.0,144.7163,200.0,77.20157,-1.9999981,0.00023498337,1.99,1.0376067,0.1046555,-0.02917357,0.009894087,-0.0041335947,1.4993509,0.77832377,0.22167625,0.02
851968,4164.951880393574,2.0,144.6894,200.0,77.253685,-1.9999981,0.0028226438,1.99,1.0388409,0.10764081,-0.02979497,0.0092698615,-0.004239035,1.5095431,0.777094,0.22290598,0.02
917504,4075.8454503199246,2.0,144.5398,200.0,77.29023,-1.9999981,0.0021159886,1.99,1.0404019,0.1081177,-0.02955931,0.009348781,-0.0040559736,1.5088862,0.77663285,0.22336715,0.02
983040,4145.228244583056,2.0,144.23918,200.0,77.63616,-1.9999981,0.00065965706,1.99,1.0445415,0.1104604,-0.029949898,0.007919373,-0.00406308,1.4923255,0.7763177,0.22368227,0.02
1048576,4037.7316163638075,2.0,144.15598,200.0,77.79921,-1.9999981,0.004195666,1.99,1.0446503,0.11521706,-0.030239437,0.0088170525,-0.0047294744,1.4959245,0.7754425,0.22455752,0.02
1114112,4108.87063829029,2.0,143.88617,200.0,78.110985,-1.9999981,0.0047362754,1.99,1.0464966,0.11807109,-0.029332604,0.008922702,-0.00419331,1.4800322,0.7752466,0.22475338,0.02
