timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success,ent_coef
65536,1176.5108510989587,1.0,139.65747,200.0,76.27452,0.0,0.2551724,1.0,0.43595812,0.1573603,-0.030088827,0.006128024,-0.0010305898,1.6061124,0.74482757,0.2551724,0.02
131072,3684.4744602839837,1.0,141.84875,200.0,75.42612,0.0,0.22799097,1.0,0.4195367,0.13516597,-0.03180173,0.0035724905,-0.001752757,1.5917609,0.772009,0.22799097,0.02
196608,3680.5179873631464,1.0,142.56876,200.0,75.4398,0.0,0.21449925,1.0,0.4104745,0.1265592,-0.032072596,0.0030108045,-0.0019121038,1.5832947,0.78550076,0.21449925,0.02
262144,3678.094474358256,1.0,142.8892,200.0,75.407,0.0,0.20817012,1.0,0.40599918,0.12369026,-0.03251248,0.0026711954,-0.0020367638,1.5905658,0.7918299,0.20817012,0.02
327680,3664.254071458111,1.0,142.57104,200.0,75.77736,0.0,0.20914742,1.0,0.40669987,0.12661825,-0.032636467,0.002856634,-0.0023943682,1.5835204,0.79085255,0.20914742,0.02
393216,3655.1538100248863,1.0,141.78062,200.0,76.27148,0.0,0.21170019,1.0,0.40851343,0.12962188,-0.03354615,0.0029835352,-0.0033573438,1.5840287,0.7882998,0.21170019,0.02
458752,3640.9641701522087,1.0,139.33507,200.0,77.33627,0.0,0.21856748,1.0,0.41327438,0.1360473,-0.033214785,0.0035427874,-0.0034460004,1.5770088,0.7814325,0.21856748,0.02
524288,3558.645968190942,1.0,138.1288,200.0,77.940926,0.0,0.22213334,1.0,0.4156803,0.14088823,-0.032563224,0.0031345128,-0.0027020667,1.5714204,0.77786666,0.22213334,0.02
589824,3550.1749779468496,1.0,137.71246,200.0,78.53937,0.0,0.22389819,1.0,0.4168546,0.14468794,-0.033001866,0.003000881,-0.0032364456,1.5632933,0.7761018,0.22389819,0.02
655360,3530.422524513813,1.0,137.01224,200.0,78.95924,0.0,0.2279924,1.0,0.41953763,0.14950535,-0.032459836,0.0033087342,-0.0027664232,1.5673892,0.7720076,0.2279924,0.02
720896,3521.5787501236623,1.0,136.10329,200.0,79.58872,0.0,0.23150085,1.0,0.42179167,0.15459111,-0.033300057,0.0032820224,-0.0036445395,1.5648264,0.76849914,0.23150085,0.02
786432,3572.516024444576,1.0,134.75656,200.0,80.19363,0.0,0.23877762,1.0,0.42633653,0.16136488,-0.03245027,0.0038953405,-0.0032077143,1.5595113,0.76122236,0.23877762,0.02
851968,3498.6496525373286,1.0,134.50421,200.0,80.457,0.0,0.23970751,1.0,0.42690492,0.16327676,-0.03362947,0.0029021937,-0.003789913,1.564533,0.7602925,0.23970751,0.02
917504,3470.1670409841613,1.0,134.01794,200.0,80.76519,0.0,0.24055286,1.0,0.4274192,0.1652569,-0.033520866,0.002890869,-0.0038120255,1.5577137,0.75944716,0.24055286,0.02
983040,3528.567732488884,1.0,133.37189,200.0,81.06809,0.0,0.24514629,1.0,0.43017393,0.17004323,-0.03336312,0.0034167008,-0.004053287,1.5509093,0.7548537,0.24514629,0.02
1048576,3449.5457728078572,1.0,133.1535,200.0,81.19577,0.0,0.24642126,1.0,0.4309267,0.17145383,-0.033722837,0.0031774566,-0.004346934,1.5482316,0.7535787,0.24642126,0.02
1114112,3443.292986454332,1.0,132.86806,200.0,81.32682,0.0,0.24973013,1.0,0.43285674,0.17436342,-0.033596016,0.0032299636,-0.004305329,1.5452836,0.7502699,0.24973013,0.02
1179648,3424.6718204748645,1.0,132.67957,200.0,81.43465,0.0,0.25313878,1.0,0.43480977,0.1769436,-0.034207027,0.0032398566,-0.0049563274,1.5435314,0.7468612,0.25313878,0.02
1245184,3419.8068708085957,1.0,132.20325,200.0,81.67347,0.0,0.256725,1.0,0.43682638,0.18020411,-0.033788364,0.0032714377,-0.004660741,1.5381668,0.743275,0.256725,0.02
1310720,3406.2354005895554,1.0,132.0672,200.0,81.73861,0.0,0.25966403,1.0,0.43845025,0.1822201,-0.03343275,0.0033070997,-0.004506215,1.5290045,0.74033594,0.25966403,0.02
1376256,3396.7998182955293,1.0,131.78961,200.0,81.8448,0.0,0.26233765,1.0,0.43990523,0.18394604,-0.034491833,0.0030476672,-0.0052675307,1.5374067,0.7376623,0.26233765,0.02
1441792,3378.6421231751333,1.0,131.40457,200.0,81.990135,0.0,0.2647436,1.0,0.4411966,0.1861662,-0.034291916,0.0029860223,-0.0050869705,1.534898,0.73525643,0.2647436,0.02
1507328,3313.0690788358793,1.0,131.30884,200.0,82.12042,0.0,0.26598445,1.0,0.441856,0.18786009,-0.03458208,0.0026072836,-0.005194129,1.5345793,0.7340156,0.26598445,0.02
1572864,3349.8791782681856,1.0,130.73225,200.0,82.3071,0.0,0.26933667,1.0,0.4436151,0.19054873,-0.034252293,0.0030377454,-0.0052311146,1.5270026,0.7306633,0.26933667,0.02
1638400,3345.5123536856636,1.0,130.73888,200.0,82.34662,0.0,0.27082,1.0,0.44438332,0.19172065,-0.03440817,0.002655393,-0.0053131874,1.521134,0.72918004,0.27082,0.02
1703936,3326.5542770225384,1.0,130.87512,200.0,82.40939,0.0,0.27073696,1.0,0.4443405,0.19201967,-0.03389471,0.0022825808,-0.00467853,1.5178735,0.729263,0.27073696,0.02
1769472,3320.2092224127473,1.0,130.71188,200.0,82.58495,0.0,0.27225557,1.0,0.44512078,0.19404954,-0.03401591,0.0025801647,-0.0051421733,1.5081909,0.7277444,0.27225557,0.02
1835008,3302.5188439101626,1.0,130.65376,200.0,82.66243,0.0,0.2732338,1.0,0.44561994,0.19496307,-0.034079332,0.0026096292,-0.005321809,1.5031171,0.72676617,0.2732338,0.02
1900544,3229.214232658645,1.0,130.3943,200.0,82.81522,0.0,0.27401596,1.0,0.44601706,0.19622114,-0.033911753,0.00235542,-0.0050876513,1.5000905,0.72598404,0.27401596,0.02
1966080,3281.58283023823,1.0,130.27303,200.0,82.86243,0.0,0.27582082,1.0,0.44692695,0.19763665,-0.034124155,0.0029204474,-0.005754687,1.4914848,0.7241792,0.27582082,0.02
2031616,3251.4502550168713,1.0,129.98859,200.0,83.020004,0.0,0.27856547,1.0,0.44829315,0.20029178,-0.034408756,0.0028663287,-0.005880722,1.4980596,0.72143453,0.27856547,0.02
2097152,3241.696035353625,1.0,129.75551,200.0,83.07672,0.0,0.28109685,1.0,0.4495347,0.20198983,-0.03339735,0.0031988872,-0.005359653,1.481857,0.7189032,0.28109685,0.02
2162688,3170.6583755225893,1.0,129.60588,200.0,83.16286,0.0,0.28257343,1.0,0.4502507,0.20372756,-0.033576623,0.0026137666,-0.0052760784,1.4803712,0.71742654,0.28257343,0.02
2228224,3165.8951229364397,1.0,129.49884,200.0,83.253204,0.0,0.28347513,1.0,0.45068493,0.20473902,-0.033157326,0.002566225,-0.0050185435,1.4710945,0.7165249,0.28347513,0.02
2293760,3156.224266138972,1.0,129.35222,200.0,83.33329,0.0,0.28476933,1.0,0.45130453,0.2060403,-0.033053316,0.0025840742,-0.005025591,1.465988,0.71523064,0.28476933,0.02
2359296,3131.076032338311,1.0,129.24516,200.0,83.37941,0.0,0.28653044,1.0,0.45214018,0.20749547,-0.033873994,0.0026594703,-0.0060524098,1.457566,0.71346956,0.28653044,0.02
2424832,3134.9701840145026,1.0,129.15887,200.0,83.4346,0.0,0.28763613,1.0,0.4526606,0.2084897,-0.03412373,0.0026638496,-0.0063419505,1.4556855,0.7123639,0.28763613,0.02
2490368,3179.025743134152,1.0,128.98291,200.0,83.49853,0.0,0.28879312,1.0,0.45320156,0.20942691,-0.03376348,0.0027778016,-0.0059261695,1.4613107,0.7112069,0.28879312,0.02
2555904,3164.4275451838926,1.0,128.689,200.0,83.55153,0.0,0.2918349,1.0,0.4546067,0.2115747,-0.032920897,0.003386719,-0.0055233445,1.4545456,0.7081651,0.2918349,0.02
2621440,3089.96159791935,1.0,128.64555,200.0,83.58849,0.0,0.29262775,1.0,0.45496893,0.21234435,-0.034192283,0.0023776623,-0.0060276827,1.4676716,0.70737225,0.29262775,0.02
2686976,3075.523724895754,1.0,128.59355,200.0,83.62036,0.0,0.29353663,1.0,0.4553821,0.21298014,-0.032982737,0.0027765809,-0.0054345042,1.4468265,0.7064634,0.29353663,0.02
2752512,3134.31848480454,1.0,128.56978,200.0,83.631516,0.0,0.29464912,1.0,0.4558849,0.21382254,-0.03336399,0.0023191827,-0.0053148493,1.4604366,0.7053509,0.29464912,0.02
2818048,3055.2182547479674,1.0,128.53261,200.0,83.636894,0.0,0.29610163,1.0,0.4565364,0.21483631,-0.033862866,0.002793913,-0.006086546,1.458664,0.7038984,0.29610163,0.02
