timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success,ent_coef
65536,1236.6873869649314,1.0,138.24654,200.0,76.201324,0.0,0.21428572,1.0,0.41032588,0.12574583,-0.01752303,0.03473826,-0.002871153,1.6010504,0.78571427,0.21428572,0.02
131072,3648.261523307841,1.0,143.04926,200.0,75.565155,0.0,0.18671249,1.0,0.38968053,0.11468718,-0.029725984,0.0059997514,-0.0009572858,1.5884286,0.8132875,0.18671249,0.02
196608,3670.918101684992,1.0,145.33766,200.0,75.73677,0.0,0.1802903,1.0,0.3844291,0.113370284,-0.032934044,0.0024266164,-0.002104832,1.602126,0.8197097,0.1802903,0.02
262144,3679.3081464515535,1.0,147.2935,200.0,74.90733,0.0,0.1740379,1.0,0.37914205,0.10809582,-0.033540323,0.0020693745,-0.0024873686,1.604382,0.82596207,0.1740379,0.02
327680,3670.8562833464302,1.0,147.93477,200.0,74.50515,0.0,0.17179605,1.0,0.37720308,0.10562339,-0.03208322,0.0020733462,-0.0010997255,1.6010084,0.828204,0.17179605,0.02
393216,3635.675011879389,1.0,147.93808,200.0,74.62717,0.0,0.17622325,1.0,0.38100997,0.10740577,-0.032385286,0.0024762794,-0.0017238186,1.5949802,0.8237768,0.17622325,0.02
458752,3653.1112050444153,1.0,148.42899,200.0,74.28749,0.0,0.1751394,1.0,0.38008627,0.10586184,-0.03321122,0.0021407001,-0.0023364318,1.5972568,0.82486063,0.1751394,0.02
524288,3626.584536074599,1.0,147.70895,200.0,74.44136,0.0,0.18158495,1.0,0.3855021,0.108627945,-0.032364365,0.0028491507,-0.0021032793,1.5842831,0.81841505,0.18158495,0.02
589824,3618.9617522017143,1.0,146.64006,200.0,75.06872,0.0,0.18247992,1.0,0.3862396,0.11143731,-0.032323465,0.0024128302,-0.002124613,1.570263,0.8175201,0.18247992,0.02
655360,3568.5747129477945,1.0,146.27174,200.0,75.27859,0.0,0.1829653,1.0,0.3866381,0.11231214,-0.032456353,0.0023821332,-0.00214285,1.5752285,0.8170347,0.1829653,0.02
720896,3586.8253542411735,1.0,145.37901,200.0,75.73235,0.0,0.18422122,1.0,0.38766453,0.11322396,-0.032612175,0.0025653106,-0.0025869538,1.5653937,0.8157788,0.18422122,0.02
786432,3584.788629456326,1.0,144.95355,200.0,75.910866,0.0,0.18725617,1.0,0.39011702,0.11520213,-0.03278262,0.002681862,-0.0027215895,1.5700977,0.81274384,0.18725617,0.02
851968,3525.6293121678013,1.0,144.02757,200.0,76.321495,0.0,0.18992512,1.0,0.39224172,0.11664749,-0.032649584,0.002941281,-0.0030617872,1.5529221,0.81007487,0.18992512,0.02
917504,3489.4874384541217,1.0,143.83383,200.0,76.323006,0.0,0.18952185,1.0,0.3919226,0.116603725,-0.032405917,0.0023860498,-0.0025437856,1.552758,0.81047815,0.18952185,0.02
983040,3549.651561158019,1.0,143.08171,200.0,76.6843,0.0,0.19505052,1.0,0.39623958,0.12062872,-0.032725897,0.003403117,-0.003445387,1.5491035,0.80494946,0.19505052,0.02
1048576,3485.906749407532,1.0,142.84583,200.0,76.92517,0.0,0.19501165,1.0,0.3962097,0.121870495,-0.033009417,0.0022200586,-0.0032278195,1.5445813,0.8049883,0.19501165,0.02
1114112,3454.4527842594994,1.0,142.80725,200.0,77.002266,0.0,0.19662197,1.0,0.39744404,0.12304178,-0.03355402,0.0026902764,-0.003934631,1.5482264,0.80337805,0.19662197,0.02
