timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success,ent_coef
65536,1157.2552435843595,1.0,136.9794,200.0,76.46281,-1.9999981,0.062780716,1.99,1.0380489,0.092782654,-0.025403777,0.01684267,-0.0017800961,1.6022509,0.7471396,0.2528604,0.02
131072,3681.479313224769,1.0,140.78806,200.0,76.67851,-1.9999981,0.014944044,1.99,1.041323,0.0759367,-0.026657691,0.012147783,-0.000748566,1.5991509,0.764938,0.235062,0.02
196608,3667.774821462816,1.0,141.36377,200.0,76.30777,-1.9999981,0.028422829,1.99,1.0413275,0.085202135,-0.027747162,0.012608209,-0.0022541888,1.5898538,0.75946546,0.24053451,0.02
262144,3663.8612919370726,1.0,138.92474,200.0,77.38747,-1.9999981,0.038316593,1.99,1.0342275,0.09213501,-0.02819737,0.012619812,-0.0029539804,1.577665,0.7582566,0.24174337,0.02
327680,3647.352842582394,1.0,138.26132,200.0,77.97041,-1.9999981,0.037607126,1.99,1.0367415,0.09536408,-0.029135063,0.0120251775,-0.0038944155,1.562662,0.7602415,0.23975852,0.02
393216,3622.2942383234217,1.0,138.1647,200.0,78.58429,-1.9999981,0.030920187,1.99,1.0351518,0.098723486,-0.028740136,0.011006203,-0.003192345,1.5525446,0.7645276,0.23547237,0.02
458752,3623.6367287064504,1.0,137.65674,200.0,79.41651,-1.9999981,0.036449175,1.99,1.0444967,0.110692926,-0.028151058,0.011553657,-0.0026136555,1.5657114,0.76086956,0.23913044,0.02
524288,3554.1657989335636,1.0,137.48141,200.0,79.92158,-1.9999981,0.03476142,1.99,1.0441867,0.11476448,-0.02966379,0.010096651,-0.0033651646,1.5673476,0.76221454,0.23778544,0.02
589824,3545.736223517339,1.0,137.22888,200.0,80.29297,-1.9999981,0.033786576,1.99,1.0430695,0.116915114,-0.02982258,0.010297204,-0.0036651476,1.5653015,0.7627617,0.2372383,0.02
655360,3513.3723762367836,1.0,135.9596,200.0,81.009766,-1.9999981,0.040067397,1.99,1.0516726,0.12675367,-0.028846169,0.012304964,-0.0038509304,1.5573857,0.7577978,0.24220222,0.02
