timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success,ent_coef
65536,1282.6314470038367,1.0,137.61981,200.0,76.475296,-1.9999981,0.10743126,1.99,1.0605097,0.12266751,-0.022477256,0.02117824,-0.0009644625,1.605096,0.7177419,0.28225806,0.02
131072,3590.330632862896,1.0,141.53514,200.0,76.15978,-1.9999981,0.07176344,1.99,1.0381426,0.11315825,-0.026354602,0.013481861,-0.0011282256,1.5983652,0.7414966,0.2585034,0.02
196608,3691.002897676867,1.0,140.46368,200.0,76.79831,-1.9999981,0.060778104,1.99,1.0448992,0.110789634,-0.026900124,0.013562625,-0.0017753979,1.5953016,0.7479824,0.25201762,0.02
262144,3640.4957021878076,1.0,141.61636,200.0,76.64289,-1.9999981,0.048231486,1.99,1.0448754,0.103877164,-0.02725715,0.012735329,-0.0019450958,1.583986,0.75262576,0.24737424,0.02
327680,3638.840321882553,1.0,140.19939,200.0,77.48285,-1.9999981,0.044804074,1.99,1.0291363,0.1054836,-0.027423616,0.011473603,-0.0015819164,1.5789254,0.7617801,0.2382199,0.02
393216,3661.177388685035,1.0,139.71976,200.0,77.49898,-1.9999981,0.044816222,1.99,1.0324517,0.10421192,-0.027008124,0.0128925275,-0.0020761262,1.5689132,0.760744,0.23925605,0.02
458752,3545.2306211360215,1.0,140.19072,200.0,77.49183,-1.9999981,0.032998864,1.99,1.0289968,0.09832775,-0.028195005,0.010480038,-0.0021456317,1.5644697,0.7659443,0.23405573,0.02
524288,3627.4271281383476,1.0,139.57147,200.0,77.646255,-1.9999981,0.038270928,1.99,1.0263717,0.10169433,-0.026536528,0.012926908,-0.0020271991,1.548639,0.7641992,0.2358008,0.02
589824,3614.888495385104,1.0,138.82993,200.0,78.027245,-1.9999981,0.05094339,1.99,1.0269744,0.11122041,-0.026943883,0.01345097,-0.0025789612,1.5545204,0.7598575,0.24014252,0.02
655360,3566.3119279900507,1.0,138.51277,200.0,78.19912,-1.9999981,0.050149396,1.99,1.0245495,0.11205018,-0.0275964,0.011620034,-0.0024522403,1.5477089,0.76021713,0.23978288,0.02
720896,3599.4837140323552,1.0,138.58887,200.0,78.20435,-1.9999981,0.044396598,1.99,1.0250196,0.10990087,-0.02823477,0.01043792,-0.0028202934,1.5316718,0.7626478,0.2373522,0.02
786432,3519.8317155233135,1.0,138.51181,200.0,78.362854,-1.9999981,0.040738016,1.99,1.025531,0.109120555,-0.028440319,0.009861678,-0.002711526,1.5329816,0.76415765,0.23584236,0.02
851968,3467.037452261023,1.0,138.6516,200.0,78.44868,-1.9999981,0.040197056,1.99,1.0259835,0.109586194,-0.028072292,0.011459859,-0.003362248,1.5219988,0.76491314,0.23508686,0.02
917504,3567.5518840374834,1.0,137.97366,200.0,78.94429,-1.9999981,0.044848286,1.99,1.0287436,0.11573693,-0.027530324,0.012798253,-0.0035518752,1.5188788,0.76267594,0.23732404,0.02
983040,3474.5664544588035,1.0,137.69395,200.0,79.24178,-1.9999981,0.048154544,1.99,1.0315436,0.12058353,-0.02766109,0.011967134,-0.003171811,1.5236425,0.760744,0.23925602,0.02
1048576,3435.6621792945607,1.0,137.33075,200.0,79.57463,-1.9999981,0.04884655,1.99,1.0347342,0.12430237,-0.02834902,0.011590258,-0.0033690296,1.5387559,0.76001054,0.23998946,0.02
1114112,3516.787008627849,1.0,136.87155,200.0,80.007904,-1.9999981,0.048255924,1.99,1.0385094,0.12750037,-0.02850109,0.01140995,-0.0035843272,1.531087,0.75966406,0.24033593,0.02
1179648,3438.088390088219,1.0,136.52551,200.0,80.3364,-1.9999981,0.048188984,1.99,1.0439292,0.13064097,-0.02878811,0.011825901,-0.004478564,1.5111248,0.75869083,0.24130915,0.02
1245184,3389.9703710041767,1.0,136.32222,200.0,80.55497,-1.9999981,0.050423536,1.99,1.0445908,0.13441433,-0.028466398,0.011226054,-0.0039289608,1.5075235,0.75756574,0.24243425,0.02
1310720,3409.0098050084375,1.0,135.54068,200.0,80.94442,-1.9999981,0.055824988,1.99,1.0469042,0.13991019,-0.027785236,0.012615526,-0.0039601,1.506645,0.7557415,0.24425855,0.02
1376256,3416.8617062675353,1.0,135.39005,200.0,81.15644,-1.9999981,0.05643786,1.99,1.0474672,0.14237347,-0.028954247,0.0103886295,-0.0042438125,1.4952375,0.7558289,0.24417111,0.02
1441792,3364.7305463405314,1.0,135.02051,200.0,81.39216,-1.9999981,0.059860744,1.99,1.0487375,0.14634673,-0.028274365,0.010670574,-0.0037952298,1.4907209,0.75434965,0.24565034,0.02
1507328,3363.984567064813,1.0,134.6707,200.0,81.62039,-1.9999981,0.05940718,1.99,1.0475992,0.14794646,-0.028876336,0.010039858,-0.004156415,1.4869924,0.7549547,0.24504529,0.02
