timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success,ent_coef
65536,1248.2206916033556,1.0,138.24654,200.0,76.201324,-1.9999981,0.07362942,1.99,0.9966223,0.1043829,-0.01314673,0.04266763,-0.0024521335,1.6014206,0.7580645,0.24193548,0.02
131072,3593.706559021994,1.0,142.94179,200.0,75.685265,-1.9999981,0.009909081,1.99,1.0102193,0.07875659,-0.02607178,0.012330177,-0.00019584571,1.6020514,0.7808219,0.21917808,0.02
196608,3626.6205653117013,1.0,144.29141,200.0,75.56537,-1.9999981,-0.015217959,1.99,1.0217619,0.067031495,-0.027826458,0.010949752,-0.0011487061,1.6076314,0.7865211,0.21347892,0.02
262144,3614.286086596682,1.0,143.48878,200.0,75.75196,-1.9999981,-0.009716515,1.99,1.0252386,0.0694916,-0.027513154,0.012299758,-0.0016955811,1.5983727,0.7827915,0.21720852,0.02
327680,3619.735930088735,1.0,143.20357,200.0,76.21101,-1.9999981,0.0041852626,1.99,1.0187073,0.076166764,-0.02790303,0.0118763875,-0.0019540591,1.5943582,0.7783964,0.22160356,0.02
393216,3602.220264446497,1.0,142.67368,200.0,76.471596,-1.9999981,0.005612503,1.99,1.0191085,0.07858318,-0.027695466,0.011354574,-0.0016832859,1.5844734,0.7769174,0.2230826,0.02
458752,3540.4623971320593,1.0,142.55385,200.0,76.42319,-1.9999981,0.005573459,1.99,1.0211693,0.07856783,-0.02775679,0.011893863,-0.0020537977,1.582496,0.7766058,0.2233942,0.02
524288,3583.4587876417913,1.0,142.75496,200.0,76.38647,-1.9999981,0.0022757708,1.99,1.0200375,0.07692055,-0.028277935,0.010713592,-0.0020594301,1.5787649,0.7779769,0.22202316,0.02
589824,3572.0305144797508,1.0,142.46361,200.0,76.62712,-1.9999981,0.0037461366,1.99,1.0189458,0.0799143,-0.02858574,0.010310445,-0.0022678052,1.5736581,0.7784563,0.22154373,0.02
655360,3565.7306411152863,1.0,142.13585,200.0,76.857666,-1.9999981,0.0037898496,1.99,1.018506,0.07959856,-0.02899685,0.010284364,-0.002737143,1.5700945,0.77859336,0.22140665,0.02
720896,3548.716607788395,1.0,141.41093,200.0,77.227516,-1.9999981,0.009898367,1.99,1.0174296,0.084621236,-0.028800651,0.010723819,-0.0028120885,1.5675238,0.7758074,0.22419259,0.02
786432,3484.6895793258773,1.0,140.77576,200.0,77.49321,-1.9999981,0.013908007,1.99,1.0199001,0.088707864,-0.028314244,0.010923127,-0.0025387001,1.5618552,0.77350503,0.22649495,0.02
851968,3465.203739962566,1.0,139.64113,200.0,78.02055,-1.9999981,0.020495616,1.99,1.0213896,0.093797706,-0.028147269,0.0123923095,-0.0032876541,1.5527884,0.7701387,0.22986133,0.02
917504,3503.730019026949,1.0,139.32446,200.0,78.15949,-1.9999981,0.022619996,1.99,1.0197222,0.09631578,-0.029103061,0.01059494,-0.0033392268,1.5530654,0.7709766,0.22902338,0.02
983040,3444.2494641468606,1.0,138.45871,200.0,78.584175,-1.9999981,0.027101263,1.99,1.0215578,0.10084119,-0.028725589,0.011781515,-0.0037862398,1.5415053,0.7693724,0.23062757,0.02
1048576,3422.1080112310437,1.0,137.84616,200.0,78.95594,-1.9999981,0.032097943,1.99,1.0243988,0.10549042,-0.02838145,0.012088622,-0.0035884315,1.5418665,0.7673143,0.2326857,0.02
1114112,3479.3519174687594,1.0,137.58696,200.0,79.25688,-1.9999981,0.03439767,1.99,1.0276651,0.11081486,-0.028842345,0.011158263,-0.0038655717,1.5277951,0.76629424,0.23370577,0.02
1179648,3411.8064762160475,1.0,137.194,200.0,79.561485,-1.9999981,0.038148113,1.99,1.0275532,0.11510492,-0.029927168,0.0103776585,-0.004493411,1.5311294,0.7658058,0.23419423,0.02
1245184,3394.051027614559,1.0,136.82767,200.0,79.85778,-1.9999981,0.039775886,1.99,1.0313203,0.11909368,-0.029375548,0.010711356,-0.004094073,1.5318581,0.76478374,0.23521625,0.02
1310720,3382.990496823284,1.0,136.41705,200.0,80.06116,-1.9999981,0.041997887,1.99,1.0305599,0.12143152,-0.02904595,0.010710376,-0.0039969017,1.5202122,0.7642939,0.23570608,0.02
1376256,3376.2193957960785,1.0,136.45111,200.0,80.14453,-1.9999981,0.04171784,1.99,1.0319045,0.122289486,-0.02906705,0.010237495,-0.0038610725,1.5162364,0.76408803,0.23591198,0.02
1441792,3364.1519677146653,1.0,136.22034,200.0,80.278595,-1.9999981,0.043268442,1.99,1.0334357,0.12447645,-0.029186793,0.010892249,-0.004174718,1.52291,0.7631604,0.2368396,0.02
1507328,3350.406588416054,1.0,135.95935,200.0,80.43974,-1.9999981,0.044649594,1.99,1.0364689,0.12702444,-0.028821396,0.011799377,-0.004413686,1.51537,0.76176894,0.23823103,0.02
1572864,3331.571586738135,1.0,136.07384,200.0,80.499954,-1.9999981,0.04309065,1.99,1.0362865,0.12723769,-0.030828707,0.00864849,-0.004674774,1.5239087,0.7625087,0.23749131,0.02
1638400,3320.9535247330887,1.0,135.83287,200.0,80.62177,-1.9999981,0.044902187,1.99,1.0386869,0.12929045,-0.029283559,0.011395019,-0.0046024937,1.5189289,0.76150644,0.23849355,0.02
1703936,3260.324312745433,1.0,135.59602,200.0,80.83711,-1.9999981,0.046414997,1.99,1.0398922,0.13230255,-0.031048989,0.00919962,-0.005396839,1.512598,0.76036096,0.23963906,0.02
1769472,3292.076592814667,1.0,135.65846,200.0,80.95018,-1.9999981,0.046469767,1.99,1.0422399,0.13415885,-0.031287555,0.008947972,-0.005256568,1.5252488,0.75985855,0.24014144,0.02
1835008,3285.466925489996,1.0,135.80432,200.0,80.95309,-1.9999981,0.044770647,1.99,1.0424987,0.13378254,-0.031060964,0.009110669,-0.00531015,1.5153072,0.7607453,0.2392547,0.02
1900544,3274.5298550814136,1.0,135.53621,200.0,81.182076,-1.9999981,0.04634504,1.99,1.0429577,0.13645214,-0.031401947,0.008219804,-0.005085686,1.5213082,0.76062685,0.23937312,0.02
1966080,3273.397910839812,1.0,135.59981,200.0,81.205925,-1.9999981,0.045689054,1.99,1.0437888,0.13708815,-0.03168304,0.008608291,-0.0056376196,1.5174782,0.760596,0.239404,0.02
