timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success,ent_coef
65536,1425.8533516609034,1.0,140.15778,200.0,75.75519,0.0,0.22041763,1.0,0.4145283,0.12835498,-0.031351086,0.005301604,-0.0019517224,1.6025083,0.7795824,0.22041763,0.02
131072,4425.538024118432,1.0,144.13525,200.0,74.89571,0.0,0.21040462,1.0,0.40759602,0.124135666,-0.031451933,0.0029001008,-0.001130038,1.5885972,0.78959537,0.21040462,0.02
196608,4357.78628326226,1.0,146.12605,200.0,75.156235,0.0,0.19677171,1.0,0.3975583,0.117736936,-0.03214142,0.0023505685,-0.0011959487,1.6060376,0.80322826,0.19677171,0.02
262144,4411.388667902297,1.0,146.43875,200.0,74.5651,0.0,0.2022792,1.0,0.4016993,0.12116323,-0.031855825,0.0032954912,-0.0014272119,1.603818,0.7977208,0.2022792,0.02
327680,4258.5379656709465,1.0,144.98785,200.0,75.08712,0.0,0.20242915,1.0,0.40181038,0.12154278,-0.03294802,0.002936367,-0.0025791135,1.5918545,0.7975708,0.20242915,0.02
393216,4370.304795212267,1.0,144.69746,200.0,75.34022,0.0,0.20718026,1.0,0.40528584,0.12621185,-0.032304056,0.0030663884,-0.001969419,1.5933915,0.79281974,0.20718026,0.02
458752,4215.1039196179945,1.0,145.24847,200.0,75.33776,0.0,0.20738363,1.0,0.40543267,0.12739776,-0.032990545,0.0028578148,-0.0027996062,1.5809922,0.79261637,0.20738363,0.02
524288,4324.624217438122,1.0,144.63837,200.0,76.05226,0.0,0.20720468,1.0,0.40530345,0.12976633,-0.033374954,0.00273812,-0.0034493685,1.5647321,0.7927953,0.20720468,0.02
589824,4297.303955025545,1.0,144.89963,200.0,76.25283,0.0,0.20447205,1.0,0.4033153,0.12980323,-0.033307653,0.0023229674,-0.0032231119,1.5623012,0.79552794,0.20447205,0.02
655360,4295.367369201372,1.0,144.49855,200.0,76.73995,0.0,0.20680454,1.0,0.4050141,0.13304903,-0.033157703,0.0028502685,-0.0034479753,1.556743,0.7931955,0.20680454,0.02
720896,4259.103646838783,1.0,144.3606,200.0,76.94716,0.0,0.20734908,1.0,0.40540776,0.13384634,-0.033879604,0.0027090723,-0.0041782707,1.5527934,0.79265094,0.20734908,0.02
786432,4266.066031780323,1.0,143.48071,200.0,77.50475,0.0,0.21160911,1.0,0.4084491,0.13822114,-0.033430632,0.0032513791,-0.0041251485,1.5465587,0.7883909,0.21160911,0.02
851968,4141.784871000003,1.0,143.51163,200.0,77.529724,0.0,0.21221374,1.0,0.40887535,0.1388981,-0.033583134,0.0026766215,-0.0038871532,1.5517148,0.78778625,0.21221374,0.02
917504,4108.975360923421,1.0,143.37138,200.0,77.60446,0.0,0.21163522,1.0,0.40846756,0.13910696,-0.03372704,0.0025495654,-0.004117882,1.5441972,0.78836477,0.21163522,0.02
983040,4108.494847759063,1.0,143.18445,200.0,77.72246,0.0,0.21359508,1.0,0.40984413,0.14091623,-0.033166654,0.0029484865,-0.0036657476,1.5487574,0.7864049,0.21359508,0.02
1048576,4108.557853435559,1.0,143.1715,200.0,77.804535,0.0,0.21268708,1.0,0.40920812,0.14092825,-0.033650614,0.0023436449,-0.0038782863,1.5472078,0.7873129,0.21268708,0.02
1114112,4067.1211329965986,1.0,142.47043,200.0,78.0802,0.0,0.21514918,1.0,0.4109258,0.14292483,-0.03342698,0.0034356634,-0.004222422,1.5461192,0.78485084,0.21514918,0.02
1179648,4102.627588861227,1.0,142.25288,200.0,78.28532,0.0,0.21564585,1.0,0.41126963,0.14400524,-0.03397869,0.0025619075,-0.004328138,1.5465752,0.78435415,0.21564585,0.02
1245184,4119.81700942832,1.0,142.2023,200.0,78.45822,0.0,0.21685779,1.0,0.412105,0.14575495,-0.034588672,0.0028019238,-0.005311939,1.5338848,0.7831422,0.21685779,0.02
1310720,4070.9858525944155,1.0,142.0112,200.0,78.54852,0.0,0.2172305,1.0,0.4123608,0.14660741,-0.03417428,0.002614407,-0.004669291,1.5406098,0.7827695,0.2172305,0.02
1376256,3985.682506042477,1.0,141.90013,200.0,78.650955,0.0,0.21701334,1.0,0.4122118,0.14699997,-0.034069054,0.002481997,-0.0044712145,1.5419419,0.78298664,0.21701334,0.02
1441792,4013.807716761796,1.0,141.90158,200.0,78.67982,0.0,0.21689723,1.0,0.41213205,0.14725243,-0.03428972,0.0024796822,-0.004768838,1.5380363,0.78310275,0.21689723,0.02
1507328,3950.7773623850103,1.0,141.63974,200.0,78.813934,0.0,0.2178713,1.0,0.41279948,0.14865278,-0.034964412,0.0025453565,-0.0055956114,1.5320741,0.7821287,0.2178713,0.02
1572864,3967.07617684208,1.0,141.53302,200.0,78.875984,0.0,0.21772517,1.0,0.41269958,0.14892316,-0.034255207,0.0023298883,-0.0049760495,1.5222052,0.78227484,0.21772517,0.02
