timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success,ent_coef
65536,1324.4754521653554,1.0,137.06422,200.0,76.222725,-1.9999981,0.062064618,1.99,1.0381515,0.09342662,-0.025361558,0.01665444,-0.0016371603,1.6025807,0.7465596,0.25344038,0.02
131072,4252.37892375752,1.0,139.98326,200.0,76.35286,-1.9999981,0.014018272,1.99,1.0416566,0.07653058,-0.02672101,0.013029922,-0.0013316381,1.5952165,0.7639509,0.2360491,0.02
196608,4245.162649808449,1.0,141.70706,200.0,76.68865,-1.9999981,0.016970675,1.99,1.0428401,0.08344543,-0.02870132,0.012647417,-0.003172265,1.592638,0.763197,0.23680298,0.02
262144,4147.109806868404,1.0,141.86111,200.0,76.840935,-1.9999981,0.030055974,1.99,1.0519391,0.09699438,-0.02891963,0.013166492,-0.0038474824,1.5827696,0.75666666,0.24333334,0.02
327680,4212.131194849343,1.0,141.01486,200.0,77.53833,-1.9999981,0.04296719,1.99,1.0624207,0.112602085,-0.02842328,0.013138133,-0.0036017853,1.5695276,0.7498907,0.25010931,0.02
393216,4203.613384701774,1.0,141.50986,200.0,77.8712,-1.9999981,0.042759545,1.99,1.0622503,0.119901225,-0.029534454,0.009783245,-0.0030674138,1.567933,0.75218976,0.24781021,0.02
458752,4195.37973182699,1.0,140.65411,200.0,78.715775,-1.9999981,0.05043588,1.99,1.064161,0.13177264,-0.030137803,0.0094383545,-0.0034987167,1.5679132,0.7493002,0.25069985,0.02
524288,4090.1412047485996,1.0,139.81377,200.0,79.480606,-1.9999981,0.064340495,1.99,1.0726138,0.14860797,-0.030662758,0.010051412,-0.004454812,1.5616827,0.74210525,0.25789472,0.02
589824,4071.427237540172,1.0,139.34868,200.0,79.95972,-1.9999981,0.06529615,1.99,1.0780344,0.1541303,-0.03048264,0.009824404,-0.004205324,1.5594755,0.7396852,0.26031482,0.02
655360,4137.710754113763,1.0,138.5964,200.0,80.42605,-1.9999981,0.07408328,1.99,1.090428,0.16641505,-0.02957891,0.009876352,-0.0035242483,1.549642,0.7330771,0.26692292,0.02
720896,4120.999248340685,1.0,137.77425,200.0,81.05108,-1.9999981,0.083548725,1.99,1.0988896,0.18012993,-0.03020724,0.009544453,-0.004182664,1.5398403,0.72797376,0.2720262,0.02
786432,4017.258485251691,1.0,136.96928,200.0,81.637344,-1.9999981,0.0946256,1.99,1.1063769,0.19470583,-0.02995421,0.008966143,-0.0036971993,1.5370041,0.7217345,0.27826545,0.02
851968,3990.2536346634556,1.0,137.14807,200.0,81.706535,-1.9999981,0.098654345,1.99,1.1112777,0.20016442,-0.030648269,0.008943401,-0.0044093602,1.5355304,0.71869934,0.2813007,0.02
917504,4070.99610225221,1.0,135.97986,200.0,82.208176,-1.9999981,0.11620512,1.99,1.1199697,0.2153289,-0.029342817,0.012135776,-0.0050057224,1.5202491,0.7087125,0.29128748,0.02
983040,3975.817434881934,1.0,135.74753,200.0,82.4398,-1.9999981,0.12374575,1.99,1.1268641,0.22349666,-0.029214192,0.011193713,-0.004430038,1.5190506,0.7040689,0.29593113,0.02
1048576,3956.475315921303,1.0,134.86497,200.0,82.7133,-1.9999981,0.1410157,1.99,1.1366441,0.23572509,-0.028277963,0.01357434,-0.004996847,1.5034143,0.69341695,0.30658302,0.02
1114112,4023.6131291109673,1.0,133.40929,200.0,83.10099,-1.9999981,0.16634026,1.99,1.1436704,0.25266987,-0.027127592,0.015851619,-0.0051799305,1.4936737,0.6800289,0.3199711,0.02
1179648,3919.4930307053296,1.0,132.04047,200.0,83.389496,-1.9999981,0.19106944,1.99,1.1523238,0.26959857,-0.02707494,0.015775409,-0.005298127,1.4832258,0.6671538,0.33284622,0.02
1245184,3898.798998842975,1.0,130.82504,200.0,83.64407,-1.9999981,0.21119489,1.99,1.156693,0.28329194,-0.027266825,0.015874365,-0.0055814115,1.4811298,0.65695894,0.34304103,0.02
1310720,3865.841493891339,1.0,129.45705,200.0,83.87691,-1.9999981,0.2343035,1.99,1.1637176,0.29896358,-0.02640562,0.017166244,-0.0057083247,1.4640208,0.6447421,0.35525793,0.02
1376256,3846.777451901971,1.0,128.06256,200.0,84.140114,-1.9999981,0.25615177,1.99,1.1677631,0.3137679,-0.02686894,0.016679171,-0.006092444,1.4558043,0.63381267,0.3661873,0.02
1441792,3767.591752776444,1.0,126.36973,200.0,84.39051,-1.9999981,0.28213635,1.99,1.1718593,0.33084962,-0.025629506,0.01824226,-0.005893388,1.4428623,0.6209855,0.37901452,0.02
1507328,3832.113064033329,1.0,125.16688,200.0,84.523056,-1.9999981,0.3034067,1.99,1.1755663,0.3451749,-0.025421882,0.018045716,-0.005457544,1.4493601,0.61069435,0.38930565,0.02
1572864,3806.685316870882,1.0,123.723114,200.0,84.76619,-1.9999981,0.32611302,1.99,1.1794016,0.36180562,-0.025619784,0.017955404,-0.005708372,1.4444559,0.5997396,0.4002604,0.02
1638400,3776.9766122325645,1.0,122.10478,200.0,84.916504,-1.9999981,0.35211435,1.99,1.1841445,0.37931588,-0.024391154,0.020000873,-0.005875704,1.4257941,0.5867713,0.4132287,0.02
1703936,3753.3982583323877,1.0,120.50617,200.0,84.968155,-1.9999981,0.37793553,1.99,1.1867198,0.39576933,-0.023077235,0.021302242,-0.00571456,1.4006898,0.57316643,0.4268336,0.02
1769472,3732.5831864531838,1.0,118.52714,200.0,84.9769,-1.9999981,0.40924945,1.99,1.1893104,0.4148283,-0.020279502,0.023961069,-0.0046475413,1.3806249,0.55709296,0.44290704,0.02
1835008,3612.6329424217784,1.0,117.28817,200.0,84.94891,-1.9999981,0.4310706,1.99,1.1907349,0.42829326,-0.024019165,0.019542484,-0.0061553577,1.3817525,0.54623276,0.45376724,0.02
1900544,3588.495855574266,1.0,116.08688,200.0,84.94452,-1.9999981,0.4500068,1.99,1.190636,0.44029933,-0.023947539,0.018725855,-0.0059680706,1.3671197,0.5368566,0.46314338,0.02
1966080,3657.1238654986664,1.0,115.14587,200.0,84.97842,-1.9999981,0.46621475,1.99,1.1913719,0.45146942,-0.024810798,0.018361952,-0.006558305,1.3716732,0.52909744,0.4709026,0.02
2031616,3560.7945982977153,1.0,113.91363,200.0,84.92818,-1.9999981,0.48579434,1.99,1.1928003,0.4641387,-0.022908708,0.020344522,-0.0058593242,1.3610822,0.51914644,0.4808536,0.02
2097152,3538.3022453973404,1.0,112.62869,200.0,84.853645,-1.9999981,0.508545,1.99,1.1929611,0.47798374,-0.021836441,0.022058308,-0.006102062,1.3381766,0.5082064,0.49179357,0.02
2162688,3510.539180983236,1.0,111.12448,200.0,84.706024,-1.9999981,0.5326838,1.99,1.1929159,0.49256873,-0.021183154,0.022468911,-0.005851499,1.3283057,0.49595714,0.50404286,0.02
2228224,3493.1717737219246,1.0,109.67711,200.0,84.548035,-1.9999981,0.5563075,1.99,1.1920817,0.50669116,-0.021388132,0.022606969,-0.0063768006,1.3157408,0.48416615,0.51583385,0.02
2293760,3543.3101805227675,1.0,108.519775,200.0,84.42513,-1.9999981,0.576869,1.99,1.1905347,0.51930827,-0.021329435,0.022586538,-0.0064190608,1.3101822,0.4742058,0.5257942,0.02
2359296,3441.3063129973048,1.0,107.12115,200.0,84.202705,-1.9999981,0.60019594,1.99,1.1888936,0.5334351,-0.020391155,0.023609586,-0.006476657,1.2859645,0.46303627,0.53696376,0.02
2424832,3407.3435052219907,1.0,105.89976,200.0,84.07977,-1.9999981,0.619908,1.99,1.1878105,0.5463927,-0.02046011,0.022271628,-0.005863075,1.2866426,0.45359674,0.5464032,0.02
2490368,3398.2996076892355,1.0,104.76597,200.0,83.89109,-1.9999981,0.63882446,1.99,1.1855782,0.558154,-0.0198657,0.022729846,-0.005554941,1.2837842,0.44437888,0.55562115,0.02
2555904,3373.8921546455767,1.0,103.71621,200.0,83.7204,-1.9999981,0.6561225,1.99,1.1837367,0.5690118,-0.01859385,0.023723269,-0.0048319926,1.2811747,0.43562746,0.56437254,0.02
2621440,3343.248139218544,1.0,102.57344,200.0,83.52714,-1.9999981,0.6735947,1.99,1.1810329,0.58014035,-0.018716615,0.022807632,-0.0048421654,1.2639133,0.42677668,0.5732233,0.02
2686976,3328.7839559045146,1.0,101.59491,200.0,83.36924,-1.9999981,0.68947965,1.99,1.1785458,0.59060735,-0.020842755,0.02250986,-0.006614134,1.2741778,0.4190617,0.58093834,0.02
