timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success,ent_coef
65536,1496.5460080362977,1.0,137.43448,200.0,76.442345,-1.9999981,0.10942568,1.99,1.0591288,0.120935485,-0.021859549,0.023457918,-0.0015195275,1.6034493,0.71609193,0.28390804,0.02
131072,4405.959685193963,1.0,141.14656,200.0,75.7583,-1.9999981,0.057074804,1.99,1.009935,0.095264815,-0.027012367,0.012459947,-0.0012197231,1.6011311,0.7570462,0.24295378,0.02
196608,4438.579835210979,1.0,141.90714,200.0,75.44104,-1.9999981,0.05978865,1.99,1.0182747,0.09691451,-0.026982203,0.014151284,-0.002111306,1.597327,0.75705796,0.24294205,0.02
262144,4387.129227763296,1.0,139.86678,200.0,76.06327,-1.9999981,0.059331544,1.99,1.015362,0.09680323,-0.026949298,0.01469627,-0.0026905534,1.5803442,0.7569331,0.24306688,0.02
327680,4294.70196394429,1.0,139.53558,200.0,76.57894,-1.9999981,0.054855,1.99,1.02888,0.09924977,-0.026971424,0.013774347,-0.0023158332,1.5771381,0.7552083,0.24479167,0.02
393216,4371.65646476902,1.0,139.03479,200.0,77.28114,-1.9999981,0.05869839,1.99,1.0379565,0.112302326,-0.027117986,0.013915402,-0.0026428746,1.5716407,0.7528694,0.24713056,0.02
458752,4255.669578677608,1.0,139.33057,200.0,77.623146,-1.9999981,0.05794628,1.99,1.0367023,0.11666817,-0.027946379,0.01131844,-0.0021804313,1.5712585,0.75522757,0.24477245,0.02
524288,4356.368264642512,1.0,139.39027,200.0,78.074875,-1.9999981,0.054214746,1.99,1.0453324,0.12103073,-0.028505504,0.011702501,-0.00300572,1.5675517,0.7544991,0.24550094,0.02
589824,4328.278198420472,1.0,140.08919,200.0,78.35711,-1.9999981,0.047406305,1.99,1.0441651,0.12262851,-0.030384218,0.008476581,-0.003389083,1.5616713,0.7589307,0.24106929,0.02
655360,4333.756720960858,1.0,140.12276,200.0,78.55258,-1.9999981,0.043368258,1.99,1.0431457,0.1224107,-0.028493935,0.010479255,-0.0026124176,1.5560572,0.7601942,0.23980583,0.02
720896,4190.207460964486,1.0,140.63972,200.0,78.49639,-1.9999981,0.03805744,1.99,1.0441871,0.12159238,-0.029192546,0.010645084,-0.0034097235,1.5552684,0.7617502,0.23824975,0.02
786432,4197.949982590623,1.0,140.13512,200.0,78.78848,-1.9999981,0.04164315,1.99,1.0471739,0.1256676,-0.028289467,0.012077111,-0.003378041,1.547499,0.75982416,0.24017584,0.02
