timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success,ent_coef
65536,1456.3963977502892,1.0,136.91972,200.0,76.54866,-1.9999981,0.11941553,1.99,1.0658381,0.12727319,-0.023054976,0.021340419,-0.0016491269,1.603803,0.7098624,0.29013762,0.02
131072,4356.145962808613,1.0,141.34921,200.0,76.17222,-1.9999981,0.05967727,1.99,1.0455968,0.10221618,-0.026787182,0.012744549,-0.0010134736,1.6072994,0.74263036,0.2573696,0.02
196608,4342.672572017496,1.0,142.93854,200.0,75.36287,-1.9999981,0.046330985,1.99,1.0426489,0.09460955,-0.026930675,0.013223735,-0.0014342627,1.6054142,0.75112444,0.24887556,0.02
262144,4331.12617660229,1.0,144.02754,200.0,75.04147,-1.9999981,0.03238657,1.99,1.021598,0.08776437,-0.028280452,0.01121544,-0.0019405012,1.5973836,0.7653176,0.23468241,0.02
327680,4229.676489665534,1.0,142.78172,200.0,75.65193,-1.9999981,0.037041213,1.99,1.0190235,0.094376534,-0.027942272,0.012993803,-0.0027472842,1.5845944,0.76508427,0.2349157,0.02
393216,4302.077150691071,1.0,142.52397,200.0,76.22799,-1.9999981,0.040590372,1.99,1.0309455,0.101665124,-0.027984114,0.012632016,-0.0030141608,1.5642982,0.7614307,0.23856932,0.02
458752,4194.827777400245,1.0,142.57237,200.0,76.53633,-1.9999981,0.04084527,1.99,1.0330709,0.10692349,-0.027646935,0.012308472,-0.0023682062,1.5716482,0.76117057,0.23882945,0.02
524288,4189.660251053218,1.0,142.50508,200.0,76.934,-1.9999981,0.033823613,1.99,1.0352827,0.1082335,-0.029482298,0.010360024,-0.0032734002,1.5694455,0.76230407,0.2376959,0.02
589824,4260.329882111274,1.0,142.86218,200.0,77.22234,-1.9999981,0.033131376,1.99,1.041451,0.11380494,-0.029416708,0.0106970435,-0.0035798943,1.559267,0.7613219,0.2386781,0.02
655360,4238.485960579097,1.0,142.76935,200.0,77.53872,-1.9999981,0.03488387,1.99,1.0425435,0.117523514,-0.029332064,0.011111372,-0.003795271,1.5546238,0.76044416,0.23955585,0.02
720896,4217.63142232985,1.0,142.93239,200.0,77.71915,-1.9999981,0.029659344,1.99,1.046199,0.118588306,-0.028827753,0.010642544,-0.0030563332,1.5546346,0.76225245,0.23774755,0.02
786432,4116.328788754741,1.0,142.64827,200.0,78.163864,-1.9999981,0.03201321,1.99,1.0461766,0.12272035,-0.02882324,0.010532901,-0.0030161506,1.5536772,0.7625229,0.23747715,0.02
851968,4101.00078793584,1.0,142.47801,200.0,78.463905,-1.9999981,0.034323305,1.99,1.0475671,0.1258799,-0.02911651,0.010777161,-0.0034414837,1.5531806,0.7618326,0.23816742,0.02
917504,4157.700803957348,1.0,142.89648,200.0,78.541954,-1.9999981,0.028213242,1.99,1.0496914,0.12528956,-0.031272944,0.008582481,-0.004589264,1.5487462,0.76333123,0.23666875,0.02
983040,4068.219368559831,1.0,143.45514,200.0,78.47273,-1.9999981,0.021774756,1.99,1.0499171,0.12379506,-0.031162642,0.008073904,-0.0041727414,1.5513427,0.7657466,0.2342534,0.02
1048576,4133.517029383744,1.0,143.1578,200.0,78.67315,-1.9999981,0.024168117,1.99,1.0514536,0.12719144,-0.030086974,0.010354437,-0.004287513,1.5488341,0.76493615,0.23506387,0.02
1114112,4045.2771168963304,1.0,143.4451,200.0,78.56389,-1.9999981,0.021596747,1.99,1.0519019,0.12683232,-0.03013819,0.009588799,-0.00420881,1.5361893,0.765536,0.234464,0.02
1179648,4023.3099506032777,1.0,143.87817,200.0,78.46098,-1.9999981,0.01795483,1.99,1.0517557,0.12558532,-0.030736819,0.008064661,-0.004040075,1.536454,0.7672509,0.2327491,0.02
