timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success,ent_coef
32768,512.4407630223509,7.0,183.95181,200.0,41.441906,0.0,0.072289154,1.0,0.25896606,0.033025194,-0.08030203,0.0028664179,-0.0014708911,1.6052871,0.92771083,0.072289154,0.05
65536,1217.7507976111383,1.0,180.57515,200.0,47.91854,0.0,0.08381503,1.0,0.2771102,0.04627128,-0.081468865,0.0008693118,-0.002072612,1.596618,0.91618496,0.08381503,0.05
98304,1216.9763999259997,1.0,177.24118,200.0,50.059017,0.0,0.09090909,1.0,0.2874798,0.044062898,-0.08086076,0.0010047749,-0.0015642039,1.5959787,0.90909094,0.09090909,0.05
131072,1213.8596114743532,1.0,174.06496,200.0,53.330574,0.0,0.10419486,1.0,0.30551314,0.051567376,-0.08133839,0.0012602056,-0.0027570943,1.5842282,0.8958051,0.10419486,0.05
163840,1212.4327123788037,1.0,170.7934,200.0,55.850765,0.0,0.11395101,1.0,0.31775174,0.056249846,-0.08098692,0.001242305,-0.0025267443,1.5816268,0.886049,0.11395101,0.05
196608,1209.087770218087,1.0,168.65388,200.0,58.12344,0.0,0.123801224,1.0,0.3293546,0.064478606,-0.080923,0.0012655561,-0.0026617048,1.5778813,0.87619877,0.123801224,0.05
229376,1207.532108039135,1.0,166.4621,200.0,59.49255,0.0,0.12877116,1.0,0.33494645,0.06780244,-0.081283316,0.0012324033,-0.0030273204,1.5774442,0.8712289,0.12877116,0.05
262144,1190.9482105849552,1.0,165.04196,200.0,60.548054,0.0,0.13350286,1.0,0.3401174,0.06975296,-0.081416465,0.0013081153,-0.0029266158,1.5828782,0.86649716,0.13350286,0.05
294912,1203.4216370413478,1.0,165.05995,200.0,60.398037,0.0,0.13631222,1.0,0.3431198,0.070983924,-0.081058376,0.0011220834,-0.0023202552,1.5859832,0.86368775,0.13631222,0.05
327680,1199.03224407555,1.0,164.35649,200.0,61.11622,0.0,0.14148073,1.0,0.34851676,0.07363076,-0.08228515,0.0013068788,-0.0035399478,1.5879728,0.85851926,0.14148073,0.05
360448,1198.6835405917204,1.0,163.99312,200.0,61.355804,0.0,0.14023831,1.0,0.3472341,0.07325591,-0.082640104,0.0009436858,-0.0035773318,1.5906922,0.8597617,0.14023831,0.05
393216,1197.4081028850428,1.0,163.90508,200.0,61.54344,0.0,0.13859724,1.0,0.3455257,0.07235159,-0.08266099,0.00090934813,-0.0035911673,1.5904896,0.86140275,0.13859724,0.05
425984,1194.11598233456,1.0,163.91638,200.0,61.459038,0.0,0.14208286,1.0,0.3491351,0.073940516,-0.08311828,0.0011807499,-0.0040781423,1.5926106,0.85791713,0.14208286,0.05
458752,1176.6797344293068,1.0,163.41153,200.0,61.981888,0.0,0.1461318,1.0,0.3532383,0.07743503,-0.08265118,0.0012331054,-0.0039786967,1.5857807,0.8538682,0.1461318,0.05
