timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,prob_fail,prob_success,ent_coef
65536,1014.1279037163226,1.0,166.75691,200.0,61.859726,0.0,0.110497236,1.0,0.31350854,0.06695859,-0.08014407,0.0021789707,-0.001037618,1.6039184,0.88950276,0.110497236,0.05
131072,2155.3309554308776,1.0,166.4649,200.0,62.649494,0.0,0.121854305,1.0,0.32711744,0.071497016,-0.08013381,0.001114868,-0.00044545025,1.6049159,0.8781457,0.121854305,0.05
196608,2151.3274651193187,1.0,165.43604,200.0,63.617783,0.0,0.122715406,1.0,0.32811025,0.07369938,-0.08071122,0.0009895669,-0.0011638162,1.6008437,0.8772846,0.122715406,0.05
262144,2124.3867345351364,1.0,166.74559,200.0,62.676075,0.0,0.1121983,1.0,0.3156103,0.06686388,-0.081085905,0.0006462051,-0.0016127785,1.5959245,0.8878017,0.1121983,0.05
327680,2139.602539056898,1.0,165.90646,200.0,63.304996,0.0,0.11369509,1.0,0.31744057,0.066880584,-0.080630794,0.001000884,-0.0013749178,1.5951263,0.8863049,0.11369509,0.05
393216,2134.2566259086907,1.0,165.18132,200.0,63.86584,0.0,0.11476109,1.0,0.3187334,0.06841374,-0.08079925,0.0010145532,-0.0015040549,1.5960495,0.8852389,0.11476109,0.05
458752,2105.6771392626165,1.0,164.54999,200.0,64.65612,0.0,0.11559433,1.0,0.31973782,0.069928765,-0.0809841,0.000996477,-0.0017522811,1.5946012,0.8844057,0.11559433,0.05
524288,2089.47398972369,1.0,164.5019,200.0,64.59797,0.0,0.11619048,1.0,0.32045317,0.07003093,-0.08112645,0.0010010131,-0.0018845783,1.5948476,0.8838095,0.11619048,0.05
589824,2089.1110931359312,1.0,163.91101,200.0,65.19835,0.0,0.11791129,1.0,0.32250306,0.07213938,-0.08124363,0.0010630577,-0.0020248548,1.595006,0.8820887,0.11791129,0.05
655360,2076.531581326043,1.0,164.05539,200.0,65.31979,0.0,0.11557916,1.0,0.3197196,0.071525365,-0.08165884,0.0006698607,-0.0020299293,1.5992771,0.8844208,0.11557916,0.05
